shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
13.3,1981-82,47,34,,2,339,22,33,-4,58,WIN,45,18,2,NHL,0,,80,103,"[{'link': '/awards/voting-1982.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1982.html#byng', 'name': 'Byng-20'}, {'link': '/awards/calder.html#1982', 'name': None}, {'link': '/awards/voting-1982.html#hart', 'name': 'Hart-5'}]",12
13.5,1982-83,31,31,,0,297,20,26,-17,51,WIN,40,19,3,NHL,1,,79,91,[],13
14.5,1983-84,73,46,,2,256,17,27,-14,65,WIN,37,20,4,NHL,0,,0,102,[],10
18.9,1984-85,74,50,,1,280,26,33,22,77,WIN,53,21,4,NHL,3,,0,130,"[{'link': '/awards/nhl_all_star.html#1985', 'name': None}, {'link': '/awards/voting-1985.html#hart', 'name': 'Hart-2'}]",17
14.7,1985-86,44,35,,0,313,24,26,-27,59,WIN,46,22,2,NHL,2,,80,105,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-9'}]",18
17.6,1986-87,52,36,,0,267,17,37,3,53,WIN,47,23,4,NHL,0,,80,100,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1987.html#hart', 'name': 'Hart-6'}]",10
15.1,1987-88,59,36,,2,292,39,21,-9,77,WIN,44,24,4,NHL,3,,0,121,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-13'}, {'link': '/awards/voting-1988.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1988.html#hart', 'name': 'Hart-7'}]",20
17.2,1988-89,28,30,,1,239,24,24,-30,55,WIN,41,25,4,NHL,3,,75,96,"[{'link': '/awards/voting-1989.html#byng', 'name': 'Byng-10'}]",14
12.3,1989-90,60,29,,1,211,25,18,-11,55,WIN,26,26,2,NHL,0,,79,81,[],8
16.0,1990-91,32,36,,0,194,22,19,2,58,BUF,31,27,1,NHL,0,,80,89,[],12
9.5,1991-92,27,32,,0,242,43,10,-22,75,BUF,23,28,4,NHL,0,,77,98,"[{'link': '/awards/voting-1992.html#byng', 'name': 'Byng-11'}]",13
6.2,1992-93,52,36,,0,259,44,8,-17,80,BUF,16,29,2,NHL,0,,81,96,[],8
15.4,1993-94,91,23,,0,227,28,21,10,51,BUF,35,30,7,NHL,1,,81,86,[],13
8.9,1994-95,2,3,,0,56,8,3,-2,11,BUF,5,31,2,NHL,0,,23,16,[],2
9.4,1995-96,26,25,,1,180,18,11,15,44,TOT,17,32,2,NHL,0,,82,61,[],6
9.6,1995-96,22,13,,1,136,14,8,5,28,STL,13,32,1,NHL,0,,66,41,[],5
9.1,1995-96,4,12,,0,44,4,3,10,16,PHI,4,32,1,NHL,0,,16,20,[],1
11.8,1996-97,32,17,,0,102,5,6,9,22,PHI,12,33,2,NHL,0,,51,34,[],6
