year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1942-43,16,8,0,1,0,MJHL,12,Winnipeg Monarchs,9
1943-44,17,23,6,20,0,EAHL,26,Brooklyn Crescents,43
1944-45,18,14,2,9,0,MJHL,5,Winnipeg Monarchs,23
1944-45,18,3,0,1,0,WNDHL,4,Winnipeg Army,4
1945-46,19,24,2,24,0,MJHL,10,Brandon Elks,48
1946-47,20,12,2,7,0,WSrHL,6,2 Teams,19
1946-47,20,8,2,6,0,WSrHL,3,University of Manitoba,14
1946-47,20,4,0,1,0,WSrHL,3,Winnipeg Flyers,5
1950-51,24,0,0,0,0,EAHL,2,New York Rovers,0
1955-56,29,4,0,20,0,AHL,13,Providence Reds,24
1955-56,29,17,2,19,0,WHL,25,Saskatoon Quakers,36
1956-57,30,13,14,47,0,WHL,68,Brandon Regals,60
1957-58,31,10,8,23,0,WHL,40,Saskatoon Quakers,33
