assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,2001-02,4,1,0,EV Zug Jr.,16,0,0,Swiss-Jr.
10,2002-03,30,17,7,EV Zug Jr.,17,32,0,Swiss-Jr.
5,2003-04,15,11,6,EV Zug Jr.,18,22,0,Swiss-Jr.
1,2003-04,38,3,2,EV Zug,18,16,0,Swiss
3,2003-04,5,4,1,Switzerland,18,4,7,WJ18-B
4,2004-05,41,5,1,EV Zug,19,12,0,Swiss
2,2005-06,35,7,5,EV Zug,20,34,0,Swiss
4,2006-07,44,6,2,EV Zug,21,22,0,Swiss
11,2007-08,50,14,3,EV Zug,22,44,0,Swiss
0,2007-08,7,0,0,Switzerland,22,0,-2,WC-A
9,2008-09,50,13,4,EV Zug,23,36,3,Swiss
27,2009-10,49,31,4,EV Zug,24,22,8,Swiss
0,2009-10,5,0,0,Switzerland,24,4,-2,Olympics
27,2010-11,45,39,12,EV Zug,25,26,0,Swiss
1,2010-11,6,4,3,Switzerland,25,4,3,WC-A
22,2012-13,32,29,7,EV Zug,27,12,0,Swiss
1,2012-13,4,1,0,Switzerland,27,0,0,WC-A
0,2013-14,4,0,0,Switzerland (all),28,4,0,Internationa
0,2013-14,4,0,0,Switzerland,28,4,0,Olympics
