assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,2002-03,7,2,1,EV Zug Jr.,17,12,0,Swiss-Jr.
0,2003-04,5,0,0,EV Zug,18,2,0,Swiss
0,2004-05,9,0,0,EV Zug,19,4,0,Swiss
1,2004-05,6,2,1,Switzerland,19,8,0,WJC-A
0,2005-06,7,0,0,EV Zug,20,4,0,Swiss
1,2005-06,6,1,0,Switzerland,20,6,0,WJC-A
1,2006-07,12,1,0,EV Zug,21,6,0,Swiss
0,2007-08,7,0,0,EV Zug,22,4,0,Swiss
1,2008-09,10,2,1,EV Zug,23,4,0,Swiss
5,2009-10,13,6,1,EV Zug,24,10,0,Swiss
4,2010-11,10,6,2,EV Zug,25,4,0,Swiss
