game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
1,13,-7,61,1,2,59,13,1,2011-12,7,0,3,0,30,NHL,4.9,4,40,50.0,102,26,167,18:00,[],16,38,3,1062,MTL
0,6,4,34,0,0,23,13,0,2012-13,5,0,1,0,6,NHL,2.9,8,11,0,44,27,73,20:33,[],14,17,1,473,MTL
0,8,-2,68,1,1,63,13,0,2013-14,8,0,2,0,16,NHL,2.9,4,36,0.0,127,28,175,17:59,[],15,22,2,1133,TOT
0,5,-4,41,1,1,46,11,0,2013-14,8,0,0,0,12,NHL,0.0,2,20,0.0,100,28,118,18:54,[],11,17,0,869,MTL
0,1,-3,9,0,0,6,1,0,2013-14,0,0,1,0,0,NHL,11.1,1,10,0,7,28,26,15:58,[],2,1,1,96,VAN
0,2,5,18,0,0,11,1,0,2013-14,0,0,1,0,4,NHL,5.6,1,6,0,20,28,31,15:19,[],2,4,1,168,NYR
1,12,-3,52,0,0,56,2,0,2014-15,2,0,2,1,10,NHL,3.8,0,24,0,67,29,132,12:01,[],4,17,1,673,CGY
