age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,SC,8.3,3,14,10,NHL,22,0,1993-94,0,60,5,,2,0,,NYR,19
24,,8.8,2,8,-9,NHL,10,0,1994-95,0,34,3,,1,2,,NYR,11
25,,1.9,0,14,9,NHL,18,0,1995-96,0,53,1,,1,26,,PIT,15
26,,0.0,0,3,4,NHL,7,0,1996-97,0,9,0,,0,2,,DAL,3
27,,11.8,1,5,3,NHL,17,0,1997-98,1,34,4,,3,2,,DAL,9
28,SC,2.2,1,12,0,NHL,0,0,1998-99,0,46,1,696,0,4,,DAL,13
29,,5.9,0,7,1,NHL,18,1,1999-00,0,34,2,476,1,6,,DAL,9
30,,4.5,1,5,2,NHL,10,0,2000-01,0,22,1,306,0,4,,DAL,6
32,,14.8,2,10,2,NHL,12,0,2002-03,0,27,4,369,2,4,,DAL,14
33,,7.1,0,1,-5,NHL,5,0,2003-04,0,14,1,140,1,0,,DAL,2
35,,9.1,0,5,-1,NHL,5,0,2005-06,0,11,1,148,1,6,,DAL,6
36,,0.0,0,4,3,NHL,6,0,2006-07,0,18,0,185,0,2,,DAL,4
37,,5.0,0,5,-4,NHL,11,0,2007-08,0,20,1,286,1,4,42,DAL,6
