goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1983-84,68,897,1,0,0,0,0,0,Montreal-Concordia,0,0,0,4.55,15,QAAA,0,0,15,0,6,8
0,0,0,1984-85,182,1822,1,0,0,0,0,0,Montreal-Concordia,0,0,0,5.99,16,QAAA,0,0,34,0,8,22
0,0,0,1985-86,75,1230,2,0,0,0,0,0,Merrimack College,0,0,0,3.66,17,NCAA-2,0,0,21,0,12,6
0,0,0,1986-87,80,1950,0,0,0,0,0,0,Merrimack College,3,0,0,2.46,18,NCAA-2,0,0,34,0,27,7
0,0,0,1987-88,84,2119,0,0,0,0,0,0,Merrimack College,4,0,0,2.38,19,NCAA-2,0,0,37,0,31,6
0,0,0,1988-89,52,1295,0,0,0,0,0,0,Merrimack College,4,0,0,2.41,20,NCAA-2,0,0,22,0,18,4
0,0,0,1988-89,55,502,0,0,0,0,0,0,Baltimore Skipjacks,0,0,0,6.57,20,AHL,0,0,10,0,1,8
0,0,0,1989-90,139,2722,2,0,0,0,0,0,Baltimore Skipjacks,4,0,0,3.06,21,AHL,0,0,47,0,24,19
0,0,0,1990-91,134,2481,6,0,0,0,0,0,Baltimore Skipjacks,1,0,0,3.24,22,AHL,0,0,42,0,20,16
0,0,0,1991-92,73,1303,3,0,0,0,0,0,Baltimore Skipjacks,0,0,0,3.36,23,AHL,0,0,22,0,10,8
0,0,0,1994-95,141,2184,3,0,0,1034,1175,0,2 Teams,0,0,0,3.87,26,IHL,.880,0,38,0,20,15
0,0,0,1994-95,106,1634,1,0,0,768,874,0,Milwaukee Admirals,0,0,0,3.89,26,IHL,.879,0,28,0,17,10
0,0,0,1994-95,35,550,2,0,0,266,301,0,Kansas City Blades,0,0,0,3.82,26,IHL,.884,0,10,0,3,5
0,0,0,1995-96,27,458,1,0,0,237,264,0,Carolina Panthers,0,0,0,3.54,27,AHL,.898,0,11,0,1,4
0,0,0,1995-96,45,867,1,0,0,366,411,0,2 Teams,0,0,0,3.11,27,IHL,.891,0,17,0,11,2
0,0,0,1995-96,34,713,1,0,0,297,331,0,Las Vegas Thunder,0,0,0,2.86,27,IHL,.897,0,13,0,10,1
0,0,0,1995-96,11,154,0,0,0,69,80,0,Kansas City Blades,0,0,0,4.29,27,IHL,.863,0,4,0,1,1
0,0,0,1996-97,53,1145,0,0,0,0,0,0,Kolner Haie,1,0,0,2.78,28,Germany,0,0,21,0,0,0
0,0,0,1996-97,3,120,2,0,0,0,0,0,Kolner Haie,0,0,0,1.50,28,EuroHL,0,0,2,0,0,0
0,0,0,1997-98,19,480,0,0,0,0,0,0,Manchester Storm,0,0,0,2.37,29,BH-Cup,0,0,8,0,0,0
0,0,0,1997-98,62,1487,0,0,0,0,0,0,Manchester Storm,0,0,0,2.50,29,Britain,0,0,24,0,0,0
0,0,0,1997-98,14,207,0,0,0,0,0,0,Manchester Storm,0,0,0,4.06,29,EuroHL,0,0,4,0,1,2
0,0,0,1998-99,119,1918,2,0,0,0,0,0,Hamburg Crocodiles,4,0,0,3.72,30,German-2,0,0,35,0,11,14
0,0,0,1999-00,74,1410,5,0,0,0,0,0,Assat Pori,1,0,0,3.15,31,Finland,0,0,24,0,6,12
0,0,0,2000-01,47,608,2,0,0,0,0,0,Assat Pori,0,0,0,4.64,32,Finland,0,0,10,0,0,8
