game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,16,48,0,48,8,1994-95,8,0,9,0,,NHL,18.8,0,19,56,[],17,9,,QUE
2,20,151,0,78,27,1995-96,22,0,21,3,,NHL,13.9,5,20,142,[],48,18,,COL
4,8,198,1,78,27,1996-97,12,3,33,10,,NHL,16.7,14,21,136,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-7'}]",60,20,,COL
6,0,187,2,73,21,1997-98,13,0,22,10,,NHL,11.8,6,22,125,[],43,12,,COL
3,-2,152,1,66,27,1998-99,16,0,22,10,20:46,NHL,14.5,10,23,99,[],49,12,1371,COL
4,-10,153,1,71,27,1999-00,12,0,18,5,20:27,NHL,11.8,14,24,106,[],45,13,1452,COL
2,1,126,0,57,15,2000-01,8,0,17,7,18:00,NHL,13.5,7,25,63,[],32,10,1026,TOT
2,-2,86,0,39,13,2000-01,7,0,13,7,17:38,NHL,15.1,6,25,59,[],26,6,687,COL
0,3,40,0,18,2,2000-01,1,0,4,0,18:47,NHL,10.0,1,25,4,[],6,4,338,LAK
5,8,139,0,76,33,2001-02,22,0,29,12,19:17,NHL,20.9,11,26,71,[],62,17,1465,LAK
1,2,55,0,20,4,2002-03,3,0,13,4,19:18,NHL,23.6,1,27,21,[],17,9,386,LAK
