shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1935-36,0,0,,0,0,0,0,0,0,TOR,0,21,0,NHL,0,,7,0,[],0
0,1936-37,32,0,,0,0,0,0,0,7,TOR,3,22,0,NHL,0,,39,10,[],0
0,1937-38,43,0,,0,0,0,0,0,4,TOR,1,23,0,NHL,0,,45,5,[],0
0,1938-39,54,0,,0,0,0,0,0,7,TOR,0,24,0,NHL,0,,0,7,[],0
0,1939-40,23,0,,0,0,0,0,0,2,TOR,2,25,0,NHL,0,,23,4,[],0
0,1940-41,59,0,,0,0,0,0,0,12,TOR,3,26,0,NHL,0,,45,15,[],0
0,1941-42,27,0,,0,0,0,0,0,4,TOR,0,27,0,NHL,0,,22,4,[],0
0,1942-43,68,0,,0,0,0,0,0,17,TOR,4,28,0,NHL,0,,48,21,[],0
0,1943-44,32,0,,0,0,0,0,0,12,TOR,4,29,0,NHL,0,,39,16,[],0
0,1944-45,41,0,,0,0,0,0,0,12,TOR,3,30,0,NHL,0,,0,15,[],0
0,1945-46,31,0,,0,0,0,0,0,7,CBH,1,31,0,NHL,0,,48,8,[],0
0,1946-47,2,0,,0,0,0,0,0,3,CBH,0,32,0,NHL,0,,10,3,[],0
