assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Hamilton Tigers,5,1933-34,23,6,28,22,0,OHA-Sr.
6,Hamilton Tigers,6,1934-35,20,12,41,23,0,OHA-Sr.
6,Syracuse Stars,5,1935-36,48,11,48,24,0,IHL
9,Syracuse Stars,6,1936-37,48,15,46,25,0,IAHL
9,Syracuse Stars,6,1937-38,47,15,32,26,0,IAHL
0,Syracuse Stars,1,1938-39,23,1,10,27,0,IAHL
5,St. Louis Flyers,9,1939-40,45,14,18,28,0,AHA
1,St. Louis Flyers,0,1940-41,8,1,10,29,0,AHA
8,2 Teams,0,1940-41,36,8,24,29,0,AHL
3,Springfield Indians,0,1940-41,12,3,14,29,0,AHL
5,Pittsburgh Hornets,0,1940-41,24,5,10,29,0,AHL
13,Pittsburgh Hornets,6,1941-42,55,19,10,30,0,AHL
16,Pittsburgh Hornets,1,1942-43,54,17,12,31,0,AHL
12,Pittsburgh Hornets,3,1943-44,38,15,16,32,0,AHL
6,Pittsburgh Hornets,1,1944-45,26,7,16,33,0,AHL
