pim,team,assists,plus_minus,points,league,games_played,year,age,goals
63,Newmarket Hurricane 87\'s,14,0,28,ON-Jr.A,35,2000-01,15,14
118,Barrie Colts,13,0,25,OHL,60,2001-02,16,12
133,Barrie Colts,24,0,46,OHL,63,2002-03,17,22
4,Canada,4,7,5,WJ18-A,7,2002-03,17,1
154,Barrie Colts,29,0,50,OHL,62,2003-04,18,21
111,Barrie Colts,18,0,49,OHL,63,2004-05,19,31
97,Iowa Stars,7,4,12,AHL,52,2005-06,20,5
5,Idaho Steelheads,3,0,8,ECHL,8,2005-06,20,5
152,Assat Pori,9,0,22,Finland,55,2006-07,21,13
43,Idaho Steelheads,4,7,11,ECHL,13,2006-07,21,7
158,Iowa Stars,14,1,28,AHL,65,2007-08,22,14
2,Orlando Solar Bears,0,0,0,ECHL,2,2012-13,27,0
