pim,team,assists,plus_minus,points,league,games_played,year,age,goals
76,Leamington Flyers,26,0,31,ON-Jr.B,52,1998-99,16,5
101,Windsor Spitfires,13,0,18,OHL,55,1999-00,17,5
124,Windsor Spitfires,28,0,36,OHL,47,2000-01,18,8
2,United States,1,5,1,WJC-A,7,2000-01,18,0
109,Windsor Spitfires,42,4,59,OHL,67,2001-02,19,17
75,Windsor Spitfires,31,4,38,OHL,45,2002-03,20,7
0,United States,0,0,0,WJC-A,1,2002-03,20,0
19,Manchester Monarchs,8,10,8,AHL,22,2003-04,21,0
112,Manchester Monarchs,14,17,24,AHL,67,2004-05,22,10
6,United States,1,-1,1,WC-A,6,2007-08,25,0
0,United States,0,3,0,Olympics,6,2009-10,27,0
