assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1934-35,2,0,0,Perth Crescents,16,2,0,OVHL
19,1936-37,12,40,21,Perth Juniors,18,10,0,LCJHL
16,1937-38,8,34,18,Perth Blue Wings,19,10,0,OVJHL
20,1938-39,27,47,27,Detroit Pontiacs,20,25,0,MOHL
19,1939-40,54,34,15,Indianapolis Capitols,21,20,0,IAHL
5,1940-41,31,8,3,Indianapolis Capitols,22,4,0,AHL
33,1941-42,56,48,15,Indianapolis Capitols,23,9,0,AHL
26,1942-43,33,39,13,Indianapolis Capitols,24,7,0,AHL
6,1943-44,8,10,4,Toronto Maher Jewels,25,2,0,TIHL
2,1943-44,2,6,4,Toronto RCAF,25,0,0,TNDHL
25,1944-45,13,34,9,Toronto Auto Workers,26,4,0,TMHL
46,1945-46,62,90,44,Indianapolis Capitols,27,35,0,AHL
57,1946-47,51,83,26,Indianapolis Capitols,28,26,0,AHL
50,1947-48,68,77,27,Buffalo Bisons,29,23,0,AHL
52,1948-49,68,72,20,Buffalo Bisons,30,20,0,AHL
68,1949-50,67,100,32,Cleveland Barons,31,27,0,AHL
39,1950-51,70,70,31,Cleveland Barons,32,20,0,AHL
50,1951-52,60,80,30,Montreal Royals,33,20,0,QMHL
29,1952-53,55,48,19,Montreal Royals,34,8,0,QMHL
15,1953-54,22,23,8,Sarnia Sailors,35,6,0,OHA-Sr.
12,1955-56,27,20,8,Kingston Goodyears,37,52,0,OHA-Int.
