assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,1936-37,2,7,3,Perth Juniors,18,0,0,LCJHL
0,1937-38,2,8,8,Perth Blue Wings,19,0,0,OVJHL
18,1937-38,12,45,27,Perth Blue Wings,19,8,0,M-Cup
4,1938-39,7,9,5,Detroit Pontiacs,20,13,0,MOHL
3,1939-40,5,3,0,Indianapolis Capitols,21,0,0,IAHL
9,1941-42,10,17,8,Indianapolis Capitols,23,6,0,AHL
0,1942-43,1,1,1,Indianapolis Capitols,24,0,0,AHL
0,1943-44,3,3,3,Ottawa Commandos,25,0,0,QSHL
0,1944-45,3,0,0,Toronto Auto Workers,26,0,0,TMHL
2,1944-45,1,3,1,Toronto Orphans,26,0,0,TMHL
2,1945-46,5,3,1,Indianapolis Capitols,27,2,0,AHL
3,1947-48,8,5,2,Buffalo Bisons,29,0,0,AHL
2,1949-50,9,4,2,Cleveland Barons,31,11,0,AHL
4,1950-51,11,7,3,Cleveland Barons,32,0,0,AHL
7,1951-52,7,10,3,Montreal Royals,33,2,0,QMHL
1,1951-52,1,1,0,Buffalo Bisons,33,0,0,AHL
3,1952-53,14,8,5,Montreal Royals,34,4,0,QMHL
0,1955-56,1,0,0,Kingston Goodyears,37,0,0,OHA-Int.
