pim,team,assists,plus_minus,points,league,games_played,year,age,goals
144,Edmonton MLAC,13,0,26,AMBHL,34,2000-01,14,13
85,Edmonton MLAC,10,0,18,AMHL,30,2001-02,15,8
0,Vancouver Giants,2,-1,2,WHL,4,2001-02,15,0
81,Vancouver Giants,7,-26,9,WHL,63,2002-03,16,2
192,Vancouver Giants,11,-8,12,WHL,72,2003-04,17,1
32,Vancouver Giants,5,7,6,WHL,15,2004-05,18,1
148,Vancouver Giants,22,30,29,WHL,60,2005-06,19,7
83,Iowa Stars,22,3,24,AHL,80,2006-07,20,2
48,Iowa Stars,4,-9,5,AHL,30,2007-08,21,1
26,Manitoba Moose,8,12,8,AHL,35,2008-09,22,0
2,Texas Stars,0,-1,0,AHL,3,2010-11,24,0
4,Norfolk Admirals,0,2,0,AHL,2,2013-14,27,0
84,Norfolk Admirals,6,3,7,AHL,34,2014-15,28,1
