even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,DET,0,0,24,0,,NHL,0,0,,1996-97,1,0,SC,0,0,-1
5,12,DET,7,16,25,0,,NHL,0,27,,1997-98,0,25.9,SC,2,19,9
2,3,DET,4,4,26,1,,NHL,0,26,125,1998-99,10,15.4,,2,7,2
2,1,DET,3,16,27,1,,NHL,0,14,105,1999-00,9,21.4,,1,4,3
0,3,DET,1,8,28,0,,NHL,0,6,86,2000-01,6,16.7,,1,4,-1
5,3,DET,8,8,29,2,,NHL,0,34,265,2001-02,0,23.5,SC,3,11,7
0,1,DET,1,4,30,0,,NHL,0,7,58,2002-03,4,14.3,,1,2,1
1,2,DET,2,10,31,1,,NHL,0,20,137,2003-04,12,10.0,,1,4,0
0,2,DET,1,12,33,0,,NHL,0,10,102,2005-06,6,10.0,,1,3,-1
1,3,DET,5,14,34,1,,NHL,0,26,244,2006-07,15,19.2,,4,8,2
3,8,DET,4,26,35,0,80,NHL,0,41,361,2007-08,21,9.8,SC,1,12,4
2,5,DET,2,22,36,0,41,NHL,0,25,316,2008-09,23,8.0,,0,7,-2
3,3,DET,4,12,37,1,40,NHL,0,26,161,2009-10,12,15.4,,1,7,3
3,4,DET,3,8,38,2,36,NHL,0,25,159,2010-11,11,12.0,,0,7,7
0,1,DET,1,2,39,0,13,NHL,0,9,49,2011-12,5,11.1,,1,2,0
