assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Pitea HC,1,1989-90,9,1,4,17,0,Sweden-2
4,Pitea HC,5,1990-91,26,9,16,18,0,Sweden-2
12,Pitea HC,15,1991-92,31,27,44,19,0,Sweden-2
15,Pitea HC,17,1992-93,32,32,30,20,0,Sweden-2
16,Bodens IK,23,1993-94,34,39,86,21,0,Sweden-2
14,Lulea HF,14,1994-95,40,28,56,22,0,Sweden
11,Lulea HF,12,1995-96,34,23,78,23,0,Sweden
0,Sweden,1,1995-96,6,1,12,23,0,WC-A
1,Adirondack Red Wings,3,1996-97,6,4,7,24,0,AHL
0,Sweden,1,2001-02,4,1,0,29,-2,Olympics
2,Sweden,3,2004-05,4,5,8,32,-3,W-Cup
16,Lulea HF,14,2004-05,47,30,50,32,0,Sweden
3,Sweden,1,2005-06,8,4,10,33,0,Olympics
