bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,3.76,-5.82,150,NHL,0,22,0,132,0,0,0,148,18,.880,2006-07,PIT,4,,0,0,1,5,287
1,0,0,1.97,11.39,0,NHL,20,23,.700,0,2,0,14,78,41,.933,2007-08,PIT,6,,0,0,0,0,0
3,0,0,2.61,-4.74,0,NHL,23,24,.435,0,2,0,10,108,0,.908,2008-09,PIT,8,SC,0,0,0,0,0
3,1,0,2.78,-5.83,339,NHL,13,25,.231,302,2,0,3,119,37,.891,2009-10,PIT,6,,0,0,7,13,798
3,1,0,2.52,-2.81,168,NHL,7,26,.571,151,0,0,4,120,17,.899,2010-11,PIT,4,,0,0,3,7,405
4,0,1,4.63,-13.65,157,NHL,6,27,.167,131,0,0,1,211,26,.834,2011-12,PIT,4,,1,0,2,6,337
1,1,1,3.52,-5.80,145,NHL,4,28,.250,128,0,0,1,152,17,.883,2012-13,PIT,2,,1,0,2,5,290
0,0,0,2.40,1.41,378,NHL,13,29,.308,346,0,0,4,96,32,.915,2013-14,PIT,6,,0,0,7,13,800
0,0,0,2.12,0.80,150,NHL,5,30,.800,139,0,0,4,93,11,.927,2014-15,PIT,4,,0,0,1,5,312
1,0,0,3.04,0,32,NHL,1,31,.000,28,0,0,0,0,4,.875,2015-16,PIT,1,SC,0,0,0,2,79
2,2,0,2.56,1.99,490,NHL,15,32,.600,453,0,0,9,95,37,.924,2016-17,PIT,6,SC,0,0,9,15,867
