bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,1,[],0,3.64,-9.89,675,NHL,0,19,0,605,0,0,0,116,70,.896,2003-04,PIT,14,3.0,0,2,4,21,1154
0,1,[],1,3.25,-5.38,1485,NHL,0,21,0,1333,0,0,0,104,152,.898,2005-06,PIT,27,8.4,1,6,13,50,2809
0,5,[],3,2.83,1.16,1954,NHL,0,22,0,1770,4,0,0,99,184,.906,2006-07,PIT,16,12.1,3,9,40,67,3905
7,4,[],1,2.33,10.58,909,NHL,22,23,.667,837,0,0,33,87,72,.921,2007-08,PIT,10,6.9,1,2,19,35,1857
7,4,[],1,2.67,7.29,1850,NHL,31,24,.508,1688,8,0,61,96,162,.912,2008-09,PIT,18,11.9,1,7,35,62,3641
11,1,[],1,2.65,-10.77,1772,NHL,30,25,.462,1604,10,0,65,107,168,.905,2009-10,PIT,21,9.4,1,6,37,67,3798
10,3,"[{'link': '/awards/voting-2011.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2011.html#hart', 'name': 'Hart-9'}, {'link': '/awards/voting-2011.html#vezina', 'name': 'Vezina-8'}]",1,2.32,8.76,1742,NHL,37,26,.597,1599,10,0,62,94,143,.918,2010-11,PIT,20,11.4,1,5,36,65,3695
7,3,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2012.html#vezina', 'name': 'Vezina-7'}]",2,2.36,-0.13,1768,NHL,36,27,.563,1615,4,0,64,100,153,.913,2011-12,PIT,17,10.7,2,4,42,67,3896
5,1,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-14'}]",2,2.39,3.60,881,NHL,15,28,.484,807,2,0,31,95,74,.916,2012-13,PIT,8,5.9,2,0,23,33,1858
11,5,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-8'}]",0,2.37,2.86,1774,NHL,33,29,.516,1624,4,0,64,98,150,.915,2013-14,PIT,18,11.1,0,5,39,64,3792
6,0,"[{'link': '/awards/voting-2015.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2015.html#hart', 'name': 'Hart-18'}]",1,2.32,10.28,1831,NHL,35,30,.547,1685,6,0,64,93,146,.920,2014-15,PIT,20,12.2,1,9,34,64,3776
5,5,"[{'link': '/awards/voting-2016.html#AS', 'name': 'AS-8'}]",1,2.29,9.76,1665,NHL,33,31,.569,1533,2,0,58,93,132,.921,2015-16,PIT,17,11.0,1,6,35,58,3463
5,1,[],0,3.02,-4.80,1181,NHL,16,32,.471,1074,6,0,34,105,107,.909,2016-17,PIT,10,6.4,0,7,18,38,2125
