age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0.0,0,0,-2,NHL,3,0,1985-86,0,1,0,,0,0,,VAN,0
23,,0.0,0,5,0,NHL,10,0,1988-89,0,18,0,,0,4,,STL,5
24,,10.0,2,1,-7,NHL,12,0,1989-90,0,20,2,,0,39,,STL,3
25,,4.8,1,4,-6,NHL,13,0,1990-91,0,21,1,,0,35,,STL,5
26,,0.0,0,1,0,NHL,6,0,1991-92,0,6,0,,0,20,,STL,1
27,,13.3,1,0,-1,NHL,11,1,1992-93,0,15,2,,0,14,,STL,2
30,,22.2,6,7,8,NHL,0,0,1995-96,2,45,10,,4,39,,FLA,17
31,,0.0,0,0,-3,NHL,5,0,1996-97,0,8,0,,0,0,,FLA,0
32,,0.0,0,0,0,NHL,6,0,1997-98,0,3,0,,0,18,,SJS,0
33,,0,0,0,0,NHL,1,0,1998-99,0,0,0,8:37,0,0,9,SJS,0
34,,14.3,1,2,0,NHL,12,0,1999-00,0,7,1,12:13,0,6,147,SJS,3
38,,0.0,0,0,-1,NHL,10,0,2003-04,0,4,0,9:27,0,6,94,CGY,0
