pim,team,assists,plus_minus,points,league,games_played,year,age,goals
12,Timra IK U18,2,0,6,Swe-U18,14,2004-05,16,4
8,Timra IK U18,1,0,3,Swe-U18,8,2005-06,17,2
26,Timra IK Jr.,4,0,7,Swe-Jr.,38,2005-06,17,3
93,Timra IK Jr.,13,0,20,Swe-Jr.,41,2006-07,18,7
12,Northern Michigan U.,27,0,27,CCHA,44,2007-08,19,0
10,Northern Michigan U.,30,0,34,CCHA,40,2008-09,20,4
26,Northern Michigan U.,29,0,32,CCHA,39,2009-10,21,3
0,Adirondack Phantoms,5,-3,7,AHL,5,2009-10,21,2
14,Adirondack Phantoms,44,-5,49,AHL,72,2010-11,22,5
14,Adirondack Phantoms,16,0,17,AHL,28,2011-12,23,1
37,Adirondack Phantoms,17,-14,22,AHL,39,2012-13,24,5
6,Sweden (all),1,-4,1,Internationa,8,2013-14,25,0
6,Sweden,1,-4,1,WC,8,2013-14,25,0
0,Sweden (all),0,0,0,Internationa,3,2014-15,26,0
0,Sweden,0,-1,0,EHT,3,2014-15,26,0
18,Avangard Omsk,16,6,22,KHL,56,2014-15,26,6
