assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,1992-93,11,2,1,Kamloops Blazers,16,2,0,WHL
12,1993-94,19,22,10,Kamloops Blazers,17,0,0,WHL
2,1993-94,4,4,2,Kamloops Blazers,17,4,0,M-Cup
9,1994-95,19,18,9,Kamloops Blazers,18,9,0,WHL
1,1994-95,4,3,2,Kamloops Blazers,18,2,0,M-Cup
9,1995-96,16,16,7,Kamloops Blazers,19,29,0,WHL
0,1996-97,5,5,5,Saint John Flames,20,2,0,AHL
8,1997-98,19,15,7,Saint John Flames,21,14,0,AHL
4,1998-99,7,8,4,Saint John Flames,22,2,0,AHL
8,2002-03,23,14,6,Houston Aeros,26,8,-4,AHL
2,2003-04,7,4,2,HC Ambri-Piotta,27,10,0,Swiss
0,2004-05,1,1,1,HC Ambri-Piotta,28,25,0,Swiss
6,2005-06,7,10,4,HC Ambri-Piotta,29,10,0,Swiss
6,2005-06,4,8,2,ZSC Lions Zurich,29,0,0,Swiss
8,2006-07,7,12,4,HC Ambri-Piotta,30,2,0,Swiss
6,2006-07,6,8,2,EHC Basel,30,6,0,Swiss
1,2009-10,4,1,0,HC Lugano,33,0,0,Swiss
1,2010-11,4,4,3,HC Lugano,34,0,0,Swiss
4,2011-12,6,4,0,HC Lugano,35,0,0,Swiss
3,2012-13,7,6,3,HC Lugano,36,2,0,Swiss
