goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,4.1,0,0,1982-83,[],89,1440,2,0,0,0,0,1,WIN,1,0,0,3.71,22,NHL,0,0,24,1,10,12
114,3.5,-15.20,0,1983-84,[],124,1530,2,2,0,736,860,1,WIN,0,0,0,4.86,23,NHL,.856,0,28,1,7,18
97,10.3,7.52,0,1984-85,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1985.html#vezina', 'name': 'Vezina-5'}]",220,3436,7,10,0,1594,1814,4,WIN,0,0,0,3.84,24,NHL,.879,0,61,4,33,17
126,4.1,-44.38,0,1985-86,[],217,2721,5,25,0,1156,1373,2,WIN,0,0,0,4.79,25,NHL,.842,0,52,2,13,28
89,6.2,13.04,0,1986-87,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-5'}, {'link': '/awards/jennings.html#1987', 'name': None}, {'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-6'}]",102,2178,4,2,0,857,959,2,MTL,1,0,0,0,26,NHL,.894,0,37,2,19,13
86,6.9,17.01,0,1987-88,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-11'}, {'link': '/awards/jennings.html#1988', 'name': None}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-4'}]",107,2247,4,24,0,925,1032,2,MTL,2,0,0,2.86,27,NHL,.896,0,39,2,22,10
94,5.3,6.81,0,1988-89,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-10'}, {'link': '/awards/jennings.html#1989', 'name': None}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-7'}]",101,2091,3,10,0,793,894,0,MTL,1,0,0,2.90,28,NHL,.887,0,36,0,20,13
103,3.9,-2.47,0,1989-90,[],94,1674,6,4,0,676,770,0,MTL,1,0,0,3.37,29,NHL,.878,0,29,0,10,12
100,3.7,-0.18,0,1990-91,[],77,1473,3,2,0,597,674,0,MNS,2,0,0,3.14,30,NHL,.886,0,26,0,6,15
0,0.5,0,0,1991-92,[],25,305,0,14,0,152,177,0,SJS,0,0,0,4.92,31,NHL,.859,0,7,0,1,4
134,1.2,-21.67,0,1992-93,[],86,930,1,2,0,473,559,1,SJS,0,0,0,5.55,32,NHL,.846,0,18,1,2,14
