goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1976-77,107,1558,0,0,0,0,0,0,Markham Waxers,0,0,0,4.12,16,ON-Jr.A,0,0,26,0,0,0
0,0,0,1978-79,95,1469,0,0,0,0,0,0,Cornell Big Red,0,0,0,3.88,18,ECAC,0,0,25,0,18,6
0,0,0,1979-80,52,508,0,0,0,0,0,0,Cornell Big Red,0,0,0,6.14,19,ECAC,0,0,12,0,2,7
0,0,0,1980-81,58,967,1,0,0,0,0,0,Cornell Big Red,1,0,0,3.60,20,ECAC,0,0,19,0,11,4
0,0,0,1981-82,66,1249,1,0,0,0,0,0,Cornell Big Red,0,0,0,3.17,21,ECAC,0,0,22,0,11,10
0,0,0,1982-83,89,1208,3,0,0,0,0,0,Sherbrooke Jets,1,0,0,4.42,22,AHL,0,0,22,0,6,11
0,0,0,1983-84,69,781,0,0,0,0,0,0,Sherbrooke Jets,0,0,0,5.30,23,AHL,0,0,15,0,4,8
0,0,0,1985-86,5,185,1,0,0,0,0,0,Sherbrooke Canadiens,0,0,0,1.62,25,AHL,0,0,3,0,2,0
0,0,0,1990-91,2,64,0,0,0,0,0,0,Montreal Canadiens,0,0,0,1.88,30,Fr-Tour,0,0,2,0,1,1
0,0,0,1990-91,5,120,0,0,0,0,0,0,Kalamazoo Wings,0,0,0,2.50,30,IHL,0,0,2,0,2,0
0,0,0,1991-92,3,119,0,0,0,0,0,0,Kansas City Blades,1,0,0,1.51,31,IHL,0,0,2,0,1,1
