average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,21,0,57,2,4,0,0,0,0,1986-87,PHI,0,0,[],0.0,,7
,5,2,0,NHL,22,2,108,1,13,3,0,0,0,1987-88,PHI,3,2,[],23.1,,27
,2,0,0,NHL,23,1,199,-15,31,1,0,0,0,1988-89,PHI,1,1,[],3.2,,53
,18,0,0,NHL,24,14,291,-7,52,4,0,0,0,1989-90,PHI,4,14,[],7.7,,74
,17,0,0,NHL,25,9,293,-6,46,8,0,0,0,1990-91,PHI,8,9,[],17.4,,74
,17,1,0,NHL,26,10,264,-5,69,5,1,0,1,1991-92,TOT,6,11,[],8.7,,76
,12,1,0,NHL,26,6,109,-2,42,4,1,0,1,1991-92,TOR,5,7,[],11.9,,40
,5,0,0,NHL,26,4,155,-3,27,1,0,0,0,1991-92,CGY,1,4,[],3.7,,36
,12,2,0,NHL,27,8,209,-6,58,4,0,0,0,1992-93,CGY,4,8,[],6.9,,77
,14,0,0,NHL,28,7,305,-4,48,7,0,0,0,1993-94,WSH,7,7,[],14.6,,84
,6,0,0,NHL,29,4,173,-5,22,2,0,0,0,1994-95,WSH,2,4,[],9.1,,43
,12,1,0,NHL,30,9,151,1,28,1,1,0,1,1995-96,WSH,2,10,[],7.1,,50
,7,1,0,NHL,31,3,218,-11,55,4,0,0,0,1996-97,WSH,4,3,[],7.3,,80
,15,0,0,NHL,32,9,189,-3,68,6,0,0,0,1997-98,WSH,6,9,[],8.8,,74
7:00,9,0,0,NHL,33,4,194,-10,52,5,0,0,0,1998-99,TOT,5,4,[],9.6,538,77
6:47,9,0,0,NHL,33,4,166,-7,45,5,0,0,0,1998-99,WSH,5,4,[],11.1,448,66
8:15,0,0,0,NHL,33,0,28,-3,7,0,0,0,0,1998-99,PHI,0,0,[],0.0,91,11
8:00,12,0,0,NHL,34,8,162,3,63,4,0,0,0,1999-00,PHI,4,8,[],6.3,616,77
5:52,3,0,0,NHL,35,3,72,-8,35,0,0,0,0,2000-01,TOT,0,3,[],0.0,352,60
5:34,1,0,0,NHL,35,1,18,-3,8,0,0,0,0,2000-01,WSH,0,1,[],0.0,123,22
6:02,2,0,0,NHL,35,2,54,-5,27,0,0,0,0,2000-01,NYI,0,2,[],0.0,229,38
6:31,4,0,0,NHL,36,1,164,-2,34,2,1,0,0,2001-02,CGY,3,1,[],8.8,430,66
5:16,6,1,0,NHL,37,4,100,-6,21,2,0,0,0,2002-03,CGY,2,4,[],9.5,289,55
