shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,2001-02,0,1,14,0,0,0,2,0,0,0,1,NSH,0,0,0,21,0,NHL,0,0,14:04,0,1,0,1,[],0
11.0,0,2002-03,31,8,1117,0,0,0,146,4,8,-8,12,NSH,16,0,0,22,2,NHL,0,0,14:09,0,79,0,28,"[{'link': '/awards/voting-2003.html#calder', 'name': 'Calder-11'}]",8
8.6,0,2003-04,37,10,1283,2,0,0,151,2,7,-8,14,NSH,13,0,0,23,1,NHL,0,0,16:14,0,79,0,27,[],6
11.5,0,2005-06,40,7,1258,2,0,0,122,6,4,0,15,NSH,14,0,0,25,5,NHL,0,0,16:47,0,75,0,29,[],10
5.8,0,2006-07,26,7,891,1,0,0,103,3,3,-11,11,TOT,6,0,0,26,0,NHL,0,0,12:23,0,72,0,17,[],3
6.6,0,2006-07,18,4,610,1,0,0,61,3,1,-13,8,NYR,4,0,0,26,0,NHL,0,0,12:27,0,49,0,12,[],3
4.8,0,2006-07,8,3,281,0,0,0,42,0,2,2,3,MIN,2,0,0,26,0,NHL,0,0,12:13,0,23,0,5,[],0
5.1,144,2007-08,24,3,546,0,2,60,39,1,2,-2,4,PIT,2,7,50.3,27,0,NHL,0,30,11:52,45,46,146,6,[],0
5.6,169,2008-09,29,4,829,0,6,143,90,1,4,-9,5,TBL,5,18,50.0,28,0,NHL,0,37,11:12,85,74,169,10,[],1
4.2,295,2010-11,32,11,1218,0,18,248,167,0,7,-12,11,TBL,7,22,55.0,30,1,NHL,0,59,14:51,152,82,360,18,[],0
3.2,188,2011-12,17,5,676,0,6,89,63,0,2,-11,5,TBL,2,12,59.5,31,1,NHL,0,30,11:52,89,57,276,7,[],0
0.0,110,2012-13,23,4,390,0,6,52,34,0,0,0,4,TOT,0,11,56.2,32,0,NHL,0,26,10:32,59,37,141,4,[],0
0.0,72,2012-13,23,4,206,0,3,21,16,0,0,3,4,TBL,0,7,56.4,32,0,NHL,0,11,10:18,28,20,93,4,[],0
0.0,6,2012-13,0,0,63,0,1,9,3,0,0,-2,0,CAR,0,1,25.0,32,0,NHL,0,5,10:31,19,6,2,0,[],0
0.0,32,2012-13,0,0,121,0,2,22,15,0,0,-1,0,PHI,0,3,59.0,32,0,NHL,0,10,10:59,12,11,46,0,[],0
6.6,213,2013-14,23,5,787,0,6,103,61,0,2,-15,5,PHI,4,18,59.6,33,0,NHL,2,46,9:50,77,80,314,9,[],0
