even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,9,HSA,8,18,28,1,,WHA,0,0,,1973-74,14,0,,0,17,0
0,4,HSA,5,8,29,0,,WHA,0,0,,1974-75,11,0,,0,9,0
0,3,HSA,2,2,30,0,,WHA,0,0,,1975-76,17,0,,0,5,-10
