assists,year,games_played,points,goals,team,age,pim,plus_minus,league
27,1995-96,36,47,20,HC Slavia Praha Jr.,16,12,0,CzRep-Jr.
25,1996-97,41,42,17,HC Slavia Praha Jr.,17,18,0,CzRep-Jr.
0,1996-97,1,0,0,HC Slavia Praha,17,0,0,CzRep
16,1997-98,27,36,20,HC Slavia Praha Jr.,18,12,0,CzRep-Jr.
0,1997-98,22,2,2,HC Slavia Praha,18,8,0,CzRep
4,1998-99,45,12,8,HC Slavia Praha,19,26,0,CzRep
7,1998-99,6,9,2,Czech Republic,19,6,0,WJC-A
31,1999-00,59,49,18,Philadelphia Phantoms,20,30,1,AHL
22,2000-01,45,32,10,Philadelphia Phantoms,21,33,-3,AHL
19,2001-02,74,34,15,2 Teams,22,62,-11,AHL
18,2001-02,65,31,13,Philadelphia Phantoms,22,54,-15,AHL
1,2001-02,9,3,2,Springfield Falcons,22,8,4,AHL
14,2002-03,34,30,16,HC CSOB Pojistovna Pardubice,23,22,0,CzRep
0,2002-03,1,2,2,HC VCE Hradec Kralove,23,10,0,CzRep-2
24,2003-04,49,44,20,HC Moeller Pardubice,24,101,0,CzRep
6,2004-05,35,19,13,HC Moeller Pardubice,25,40,0,CzRep
20,2005-06,40,28,8,HC Slavia Praha,26,48,0,CzRep
22,2006-07,42,39,17,2 Teams,27,114,0,CzRep
4,2006-07,8,6,2,HC Slavia Praha,27,18,0,CzRep
18,2006-07,34,33,15,HC Lasselsberger Plzen,27,96,0,CzRep
14,2007-08,52,35,21,HC Lasselsberger Plzen,28,133,0,CzRep
21,2008-09,47,34,13,HC Moeller Pardubice,29,50,0,CzRep
14,2009-10,48,22,8,2 Teams,30,46,0,CzRep
8,2009-10,20,10,2,HC Eaton Pardubice,30,20,0,CzRep
6,2009-10,28,12,6,HC Kometa Brno,30,26,0,CzRep
17,2010-11,56,38,21,BK Mlada Boleslav,31,46,0,CzRep
11,2011-12,26,17,6,HC Kometa Brno,32,18,0,CzRep
2,2011-12,7,5,3,HC Davos,32,4,0,Swiss
1,2012-13,8,2,1,Pirati Chomutov,33,4,0,CzRep-Q
22,2012-13,43,37,15,2 Teams,33,44,0,CzRep
15,2012-13,28,27,12,HC Kometa Brno,33,32,0,CzRep
7,2012-13,15,10,3,Pirati Chomutov,33,12,0,CzRep
