game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-3,7,0,10,0,1970-71,0,0,0,0,,NHL,0.0,0,20,9,[],0,0,,BUF
0,-10,10,0,12,1,1971-72,1,0,1,0,,NHL,10.0,0,21,4,[],2,1,,BUF
0,-7,34,0,53,1,1972-73,1,0,2,1,,NHL,5.9,0,22,34,[],3,1,,TOT
0,-3,15,0,34,1,1972-73,1,0,1,1,,NHL,6.7,0,22,26,[],2,0,,BUF
0,-4,19,0,19,0,1972-73,0,0,1,0,,NHL,5.3,0,22,8,[],1,1,,ATF
1,1,49,0,42,1,1973-74,1,0,6,0,,NHL,12.2,0,23,89,[],7,6,,ATF
1,-5,32,1,20,2,1974-75,1,0,3,1,,NHL,9.4,0,24,19,[],5,2,,KCS
0,-4,44,0,38,8,1974-75,0,0,7,1,,WHA,15.9,0,24,128,[],15,6,,VNB
4,5,215,0,79,28,1975-76,0,2,26,5,,WHA,12.1,0,25,196,[],54,19,,CGC
0,-10,161,0,73,21,1976-77,0,0,22,5,,WHA,13.7,0,26,128,[],43,17,,TOT
0,-5,82,0,35,4,1976-77,0,0,9,2,,WHA,11.0,0,26,51,[],13,7,,MNF
0,-5,79,0,38,17,1976-77,0,0,13,3,,WHA,16.5,0,26,77,[],30,10,,CGC
0,5,98,0,65,9,1977-78,0,0,8,0,,WHA,8.2,0,27,118,[],17,8,,TOT
0,-1,27,0,20,3,1977-78,0,0,1,0,,WHA,3.7,0,27,32,[],4,1,,EDO
0,6,71,0,45,6,1977-78,0,0,7,0,,WHA,9.9,0,27,86,[],13,7,,CNS
