age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,,10.0,1,2,1,NHL,12,0,1996-97,1,40,4,,0,12,,EDM,6
24,,5.9,1,1,0,NHL,12,0,1997-98,0,17,1,,0,10,,EDM,2
25,,10.0,1,1,2,NHL,4,0,1998-99,0,10,1,97,0,12,,EDM,2
26,,16.7,1,0,-1,NHL,3,0,1999-00,0,6,1,54,0,2,,EDM,1
27,,0.0,0,0,-3,NHL,6,0,2000-01,0,7,0,138,0,4,,EDM,0
29,,0.0,0,2,-1,NHL,6,0,2002-03,0,5,0,120,0,2,,EDM,2
32,,11.5,3,10,0,NHL,16,0,2005-06,0,26,3,281,0,14,,MDA,13
33,SC,0.0,0,3,-1,NHL,11,0,2006-07,0,19,0,173,0,12,,ANA,3
34,,25.0,2,0,1,NHL,6,0,2007-08,0,8,2,106,0,0,9,ANA,2
35,,5.6,1,1,0,NHL,13,0,2008-09,1,18,1,259,0,16,30,ANA,2
37,,0.0,0,1,-3,NHL,6,0,2010-11,0,4,0,86,0,4,6,ANA,1
