year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1955-56,15,1,0,1,0,MJHL,1,St. Boniface Canadiens,2
1956-57,16,28,2,27,0,MJHL,30,St. Boniface Canadiens,55
1957-58,17,32,8,39,0,MJHL,47,Flin Flon Bombers,71
1958-59,18,62,4,50,0,MJHL,48,Flin Flon Bombers,112
1958-59,18,4,0,1,0,WHL,5,Winnipeg Warriors,5
1959-60,19,23,5,28,0,OHA-Sr.,47,Kitchener-Waterloo Dutchmen,51
1959-60,19,0,4,2,0,Olympics,5,Canada,2
1959-60,19,1,2,1,0,WHL,2,Winnipeg Warriors,2
1960-61,20,33,10,69,0,EPHL,65,Hull-Ottawa Canadiens,102
1962-63,22,21,6,41,0,EPHL,39,Kingston Frontenacs,62
1963-64,23,6,4,15,0,WHL,26,San Francisco Seals,21
1963-64,23,11,2,19,0,AHL,43,Quebec Aces,30
1965-66,25,6,6,8,0,WHL,36,Los Angeles Blades,14
1966-67,26,37,2,49,0,EHL,64,Florida Rockets,86
1967-68,27,49,18,66,0,EHL,68,Nashville Dixie Flyers,115
1968-69,28,59,26,58,0,EHL,72,Nashville Dixie Flyers,117
1969-70,29,43,6,57,0,IHL,72,Des Moines Oak Leafs,100
1970-71,30,22,8,42,0,IHL,54,Des Moines/Flint,64
1971-72,31,25,61,56,0,EHL,66,St. Petersburg Suns,81
1972-73,32,25,10,47,0,EHL,48,Sun Coast Suns,72
1973-74,33,0,0,5,0,SHL,5,Sun Coast Suns,5
