league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,32,0,21,0,7,0,,CBH,[],0,0,4,0,3,0,1958-59,,0,22,0,0
NHL,59,0,22,0,20,0,,DET,[],0,0,12,0,8,0,1959-60,,0,50,0,0
NHL,16,0,23,0,4,0,,DET,[],0,0,1,0,3,0,1960-61,,0,13,0,0
NHL,45,2,26,0,18,0,,CBH,[],0,8,9,0,9,0,1963-64,,1,50,0,0
NHL,51,0,27,0,18,0,,CBH,[],0,7,10,0,8,0,1964-65,,1,46,0,0
NHL,0,1,28,0,33,0,,TOT,[],0,15,14,0,19,0,1965-66,,4,72,0,0
NHL,35,0,28,0,11,0,,NYR,[],0,4,5,0,6,0,1965-66,,2,36,0,0
NHL,36,1,28,0,22,0,,BOS,[],0,11,9,0,13,0,1965-66,,2,36,0,0
NHL,69,5,29,0,36,0,,BOS,[],0,13,19,0,17,1,1966-67,,3,98,0,0
NHL,74,4,30,184,66,4,,BOS,[],15.2,21,38,14,28,0,1967-68,,7,107,1,33
NHL,60,7,31,123,56,10,,BOS,[],0,20,27,13,29,1,1968-69,,8,99,0,17
NHL,72,6,32,196,70,24,,BOS,"[{'link': '/awards/nhl_all_star.html#1970', 'name': None}]",14.8,19,41,20,29,1,1969-70,,9,114,0,17
NHL,65,3,33,151,77,20,,BOS,[],20.5,20,46,27,31,0,1970-71,,11,120,0,26
NHL,77,3,34,133,69,21,,BOS,[],16.5,12,47,19,22,0,1971-72,,10,126,0,26
WHA,60,7,35,0,78,0,,PHB,[],0,19,50,0,28,1,1972-73,,8,157,0,0
WHA,45,0,36,0,52,0,,VNB,[],0,11,38,0,14,0,1973-74,,3,71,0,0
WHA,74,0,37,107,60,0,,VNB,[],21.5,18,37,11,23,0,1974-75,,5,84,0,0
WHA,69,6,38,142,60,0,,TOT,[],16.9,17,36,9,24,2,1975-76,,5,54,0,0
WHA,57,6,38,125,47,0,,MFS,[],16.8,15,26,10,21,2,1975-76,,4,48,0,0
WHA,12,0,38,17,13,0,,CNS,[],17.6,2,10,-1,3,0,1975-76,,1,6,0,0
WHA,74,0,39,161,60,0,,TOT,[],17.4,22,32,24,28,3,1976-77,,3,77,0,0
WHA,40,0,39,98,30,0,,MNF,[],17.3,14,13,14,17,0,1976-77,,3,52,0,0
WHA,34,0,39,63,30,0,,NEW,[],17.5,8,19,10,11,3,1976-77,,0,25,0,0
WHA,79,0,40,135,56,0,,NEW,[],20.0,18,29,15,27,0,1977-78,,9,61,0,0
WHA,76,0,41,113,47,0,,NEW,[],16.8,14,28,6,19,2,1978-79,,3,115,0,0
