assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Kenora Thistles,13,1910-11,6,13,0,20,0,MHL-Pro
0,Vancouver Millionaires,4,1911-12,15,4,55,21,0,PCHA
0,PCHA All-Stars,0,1911-12,1,0,0,21,0,Exhib.
6,Vancouver Millionaires,14,1912-13,16,20,61,22,0,PCHA
3,Vancouver Millionaires,14,1913-14,15,17,33,23,0,PCHA
3,Portland Rosebuds,14,1914-15,18,17,39,24,0,PCHA
6,Portland Rosebuds,10,1915-16,18,16,75,25,0,PCHA
2,PCHA All-Stars,3,1915-16,3,5,3,25,0,Exhib.
13,Portland Rosebuds,18,1916-17,23,31,39,26,0,PCHA
5,Portland Rosebuds,6,1917-18,8,11,19,27,0,PCHA
6,Vancouver Millionaires,19,1918-19,20,25,0,28,0,PCHA
11,Vancouver Millionaires,14,1919-20,22,25,12,29,0,PCHA
17,Vancouver Millionaires,15,1920-21,24,32,6,30,0,PCHA
4,Vancouver Millionaires,10,1921-22,23,14,21,31,0,PCHA
6,Vancouver Maroons,10,1922-23,20,16,26,32,0,PCHA
10,Seattle Metropolitans,8,1923-24,30,18,30,33,0,PCHA
1,Vancouver Maroons,0,1924-25,14,1,16,34,0,WCHL
12,Edmonton Eskimos,12,1926-27,32,24,68,36,0,PrHL
5,Los Angeles Richfields,10,1927-28,21,15,26,37,0,Cal-Pro
13,San Francisco Tigers,13,1928-29,36,26,43,38,0,Cal-Pro
12,Hollywood Millionaires,7,1929-30,42,19,28,39,0,Cal-Pro
10,San Francisco Tigers,8,1930-31,31,18,0,40,0,Cal-Pro
8,San Francisco Rangers,3,1931-32,30,11,0,41,0,Cal-Pro
