shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1959-60,17,0,,0,0,0,0,0,10,MTL,3,21,0,NHL,0,,43,13,[],0
0,1960-61,31,0,,0,0,0,0,0,27,MTL,18,22,0,NHL,0,,0,45,[],0
0,1961-62,42,0,,0,0,0,0,0,31,MTL,20,23,0,NHL,0,,0,51,[],0
0,1962-63,39,0,,0,0,0,0,0,22,MTL,17,24,0,NHL,0,,0,39,[],0
0,1963-64,41,0,,0,0,0,9,0,9,MTL,11,25,2,NHL,0,,48,20,[],2
0,1964-65,32,0,,0,0,0,5,0,12,TOT,6,26,2,NHL,0,,57,18,[],1
0,1964-65,6,0,,0,0,0,0,0,1,MTL,0,26,0,NHL,0,,17,1,[],0
0,1964-65,26,0,,0,0,0,5,0,11,NYR,6,26,2,NHL,0,,40,17,[],1
0,1965-66,21,0,,0,0,0,6,0,18,NYR,9,27,0,NHL,0,,49,27,[],3
0,1966-67,11,0,,0,0,0,3,0,4,NYR,3,28,0,NHL,0,,48,7,[],0
14.8,1967-68,32,14,,0,142,5,9,-22,19,OAK,21,29,4,NHL,0,,52,40,[],12
14.6,1968-69,68,32,,0,171,4,21,-11,36,OAK,25,30,3,NHL,0,,67,61,[],4
10.8,1969-70,14,21,,0,139,8,10,-10,29,OAK,15,31,2,NHL,0,,69,44,[],5
13.0,1970-71,41,12,,0,138,5,14,-29,17,CGS,18,32,1,NHL,0,,74,35,[],4
10.5,1971-72,6,0,,0,19,0,1,-6,0,PIT,2,33,0,NHL,0,,12,2,[],1
0,1972-73,20,0,,0,0,0,10,0,24,ALO,14,34,0,WHA,0,,73,38,[],4
