assists,team,goals,year,games_played,points,pim,age,plus_minus,league
8,Regina Pats,6,1954-55,14,14,4,16,0,SJHL
13,Regina Pats,5,1954-55,15,18,8,16,0,M-Cup
8,Regina Pats,6,1955-56,10,14,10,17,0,SJHL
18,Regina Pats,11,1955-56,19,29,44,17,0,M-Cup
5,Regina Pats,5,1956-57,7,10,14,18,0,SJHL
10,Regina Pats,9,1957-58,12,19,20,19,0,SJHL
8,Regina Pats,18,1957-58,16,26,31,19,0,M-Cup
1,Rochester Americans,1,1958-59,5,2,12,20,0,AHL
8,Baltimore Clippers,6,1966-67,9,14,23,28,0,AHL
5,Fort Worth Wings,0,1971-72,7,5,12,33,0,CHL
