goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1971-72,64,660,0,0,0,0,0,0,HC Tunabro,0,0,0,5.82,17,Sweden,0,0,11,0,0,0
0,0,0,1971-72,2,70,0,0,0,0,0,0,Sweden,0,0,0,1.71,17,EJC-A,0,0,2,0,0,0
0,0,0,1972-73,59,600,0,0,0,0,0,0,HC Tunabro,0,0,0,5.90,18,Sweden,0,0,10,0,0,0
0,0,0,1972-73,11,210,0,0,0,0,0,0,Sweden,0,0,0,3.14,18,EJC-A,0,0,4,0,0,0
0,0,0,1973-74,62,600,0,0,0,0,0,0,HC Tunabro,0,0,0,6.20,19,Sweden,0,0,10,0,0,0
0,0,0,1974-75,80,1800,0,0,0,0,0,0,Leksands IF,0,0,0,2.67,20,Sweden,0,0,30,0,0,0
0,0,0,1974-75,12,220,0,0,0,0,0,0,Sweden,2,0,0,3.27,20,WEC-A,0,0,4,0,2,2
0,0,0,1975-76,118,1620,0,0,0,0,0,0,Leksands IF,0,0,0,4.37,21,Sweden,0,0,27,0,0,0
0,0,0,1975-76,20,360,0,0,0,0,0,0,Sweden,0,0,0,3.33,21,WEC-A,0,0,6,0,4,2
0,0,0,1976-77,1,60,0,0,0,0,0,0,Sweden,0,0,0,1.00,22,Can-Cup,0,0,1,0,1,0
0,0,0,1976-77,126,1921,0,0,0,0,0,0,Leksands IF,0,0,0,3.94,22,Sweden,0,0,33,0,0,0
0,0,0,1976-77,9,412,0,0,0,0,0,0,Sweden,0,0,0,1.31,22,WEC-A,0,0,7,0,6,1
0,0,0,1977-78,19,297,0,0,0,0,0,0,Fort Worth Texans,0,0,0,3.84,23,CHL,0,0,5,0,3,2
0,0,0,1977-78,82,1254,2,0,0,0,0,0,Hershey Bears,1,0,0,3.92,23,AHL,0,0,23,0,6,13
0,0,0,1977-78,22,392,0,0,0,0,0,0,Sweden,0,0,0,3.37,23,WEC-A,0,0,7,0,2,4
0,0,0,1978-79,195,3332,4,0,0,0,0,0,Fort Worth Texans,2,0,0,3.51,24,CHL,0,0,61,0,25,29
0,0,0,1979-80,69,1037,4,0,0,0,0,0,Syracuse Firebirds,0,0,0,3.99,25,AHL,0,0,17,0,4,9
0,0,0,1980-81,76,1078,0,0,0,0,0,0,Vastra Frolunda HC Goteborg,0,0,0,4.23,26,Sweden,0,0,18,0,0,0
0,0,0,1981-82,89,1582,0,0,0,0,0,0,Vastra Frolunda HC Goteborg,0,0,0,3.38,27,Sweden,0,0,28,0,0,0
0,0,0,1982-83,140,1980,0,0,0,0,0,0,Vastra Frolunda HC Goteborg,1,0,0,4.24,28,Sweden,0,0,34,0,0,0
0,0,0,1983-84,151,1093,0,0,0,0,0,0,Vastra Frolunda HC Goteborg,1,0,0,8.29,29,Sweden,0,0,36,0,0,0
0,0,0,1986-87,16,200,0,0,0,0,0,0,Leksands IF,0,0,0,4.80,32,Sweden,0,0,4,0,2,1
