year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1987-88,16,9,14,11,0,High-MN,21,Grand Rapids Thunderhawks,20
1988-89,17,13,26,17,0,High-MN,25,Grand Rapids Thunderhawks,30
1989-90,18,32,0,25,0,High-MN,28,Grand Rapids Thunderhawks,57
1990-91,19,11,50,14,0,WCHA,45,University of Minnesota,25
1991-92,20,14,70,14,0,WCHA,41,University of Minnesota,28
1992-93,21,21,80,20,0,WCHA,42,University of Minnesota,41
1993-94,22,29,94,16,0,WCHA,41,University of Minnesota,45
1994-95,23,24,139,13,0,AHL,76,Binghamton Rangers,37
1995-96,24,22,56,20,0,AHL,64,Binghamton Rangers,42
1996-97,25,27,71,26,0,AHL,76,Binghamton Rangers,53
1997-98,26,4,37,8,7,AHL,18,Cincinnati Mighty Ducks,12
1999-00,28,1,2,1,1,WC-A,7,United States,2
