assists,year,games_played,points,goals,team,age,pim,plus_minus,league
34,1986-87,22,63,29,Catholic Memorial Knights,17,30,0,High-MA
14,1987-88,28,26,12,Harvard Crimson,18,24,0,ECAC
2,1987-88,7,5,3,United States,18,18,0,WJC-A
37,1988-89,34,51,14,Harvard Crimson,19,30,0,ECAC
6,1989-90,16,11,5,Harvard Crimson,20,34,0,ECAC
37,1990-91,27,56,19,Harvard Crimson,21,26,0,ECAC
22,1991-92,52,33,11,United States,22,24,0,Nat-Tm
3,1991-92,8,7,4,United States,22,8,0,Olympics
5,1994-95,14,10,5,TuTo Turku,25,47,0,Finland
2,1996-97,8,6,4,United States,27,8,0,WC-A
6,1998-99,6,8,2,United States,29,6,0,WC-A
3,2001-02,7,4,1,United States,32,2,2,WC-A
25,2001-02,37,43,18,2 Teams,32,19,1,AHL
0,2001-02,1,0,0,Bridgeport Sound Tigers,32,0,-1,AHL
25,2001-02,36,43,18,Manchester Monarchs,32,19,2,AHL
12,2002-03,18,20,8,Hartford Wolf Pack,33,14,3,AHL
9,2003-04,15,12,3,Providence Bruins,34,24,-1,AHL
