game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-1,13,0,10,2,1991-92,2,0,1,0,,NHL,7.7,0,22,8,[],3,1,,BOS
5,2,118,0,82,20,1992-93,9,2,15,3,,NHL,12.7,11,23,61,[],35,10,,BOS
1,0,158,2,84,32,1993-94,26,2,22,9,,NHL,13.9,4,24,59,[],54,11,,BOS
1,3,71,1,47,10,1994-95,7,0,10,1,,NHL,14.1,2,25,10,[],20,9,,BOS
1,6,152,2,82,26,1995-96,16,0,23,7,,NHL,15.1,8,26,46,[],49,16,,BOS
2,-9,172,1,67,26,1996-97,20,2,25,6,,NHL,14.5,5,27,37,[],51,17,,BOS
5,6,129,0,79,23,1997-98,16,0,16,3,,NHL,12.4,7,28,54,[],39,13,,BOS
0,-8,106,0,82,16,1998-99,12,0,11,3,12:32,NHL,10.4,4,29,41,[],27,8,1028,TOT
0,0,22,0,14,3,1998-99,2,0,1,0,15:21,NHL,4.5,1,29,4,[],4,1,215,BOS
0,-10,68,0,55,11,1998-99,8,0,7,2,12:09,NHL,10.3,3,29,27,[],18,5,668,NYI
0,2,16,0,13,2,1998-99,2,0,3,1,11:10,NHL,18.8,0,29,10,[],5,2,145,OTT
3,-3,138,1,81,19,1999-00,15,0,11,2,14:35,NHL,8.0,3,30,26,[],30,9,1181,MDA
3,6,71,0,65,17,2000-01,17,0,8,1,10:13,NHL,11.3,0,31,26,[],25,7,664,DAL
0,-5,2,0,5,0,2001-02,0,0,0,0,8:14,NHL,0.0,0,32,4,[],0,0,41,TOT
0,-1,1,0,1,0,2001-02,0,0,0,0,7:55,NHL,0.0,0,32,0,[],0,0,8,NYI
0,-2,0,0,2,0,2001-02,0,0,0,0,9:17,NHL,0,0,32,2,[],0,0,19,STL
0,-2,1,0,2,0,2001-02,0,0,0,0,7:20,NHL,0.0,0,32,2,[],0,0,15,LAK
0,-1,30,0,49,1,2002-03,1,0,2,0,8:33,NHL,6.7,0,33,6,[],3,2,419,NYR
1,2,35,2,63,5,2003-04,3,3,6,0,9:16,NHL,17.1,0,34,18,[],11,3,584,BOS
