age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0.0,0,1,0,NHL,5,0,1990-91,0,8,0,,0,0,,CGY,1
22,,12.5,2,6,5,NHL,18,1,1991-92,0,32,4,,1,24,,CHI,10
23,,0.0,0,1,-1,NHL,3,0,1992-93,0,2,0,,0,2,,CHI,1
24,SC,16.7,5,3,5,NHL,23,0,1993-94,2,36,6,,1,20,,NYR,9
25,,0.0,0,1,-1,NHL,9,0,1994-95,0,9,0,,0,10,,NYR,1
26,,0.0,0,2,-2,NHL,11,0,1995-96,0,13,0,,0,8,,STL,2
27,,0.0,0,0,0,NHL,5,0,1996-97,0,2,0,,0,0,,STL,0
28,,0.0,0,1,1,NHL,4,0,1997-98,0,2,0,,0,0,,SJS,1
29,,0.0,0,0,-3,NHL,5,0,1998-99,0,4,0,13:58,0,6,70,SJS,0
30,,0.0,0,2,-2,NHL,10,0,1999-00,0,16,0,13:16,0,8,133,SJS,2
31,,16.7,1,3,1,NHL,6,0,2000-01,0,6,1,13:10,0,0,79,SJS,4
32,,20.0,1,2,1,NHL,10,0,2001-02,0,5,1,7:24,0,2,74,SJS,3
