game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0,0,0,0,23,,0,3,1935-36,4,0,1,0,TOR,,2,,NHL
0,0,0,0,0,24,,2,0,1936-37,0,0,0,0,TOR,,5,,NHL
0,0,0,0,0,25,,4,2,1937-38,2,0,0,0,TOR,,7,,NHL
0,0,0,0,0,26,,10,1,1938-39,2,0,1,0,TOR,,6,,NHL
0,0,0,0,0,27,,10,3,1939-40,3,0,0,0,TOR,,16,,NHL
0,0,0,0,0,28,,7,2,1940-41,2,0,0,0,TOR,,7,,NHL
0,0,0,0,0,29,,0,2,1941-42,3,0,1,0,TOR,SC,20,,NHL
0,0,0,0,0,30,,6,2,1942-43,3,0,1,0,TOR,,7,,NHL
0,0,0,0,0,31,,5,0,1943-44,0,0,0,0,TOR,,4,,NHL
0,0,0,0,0,32,,13,2,1944-45,3,0,1,0,TOR,SC,2,,NHL
