year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2013-14,20,5,8,27,13,WHL,21,Portland Winterhawks,32
2014-15,21,1,-1,2,2,AHL,6,Wilkes-Barre Scranton Penguins,3
2016-17,23,1,2,0,0,AHL,2,Wilkes-Barre/Scranton Penguins,1
