pim,team,assists,plus_minus,points,league,games_played,year,age,goals
247,Sudbury Legionnaires,46,0,71,NOHA,48,1990-91,15,25
10,Sudbury Cubs,2,0,5,NOJHA,3,1990-91,15,3
145,Guelph Storm,14,0,21,OHL,47,1991-92,16,7
164,Guelph Storm,32,0,59,OHL,59,1992-93,17,27
165,Guelph Storm,54,0,82,OHL,61,1993-94,18,28
58,Guelph Storm,65,0,119,OHL,62,1994-95,19,54
16,Utah Grizzlies,5,-3,10,IHL,13,1996-97,21,5
16,Canada,2,0,3,WC-A,6,1997-98,22,1
47,Canada,4,5,9,WC-A,9,1999-00,24,5
6,Canada,3,1,3,Olympics,6,2005-06,30,0
0,Binghamton Senators,0,-3,0,AHL,2,2014-15,39,0
