pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Toronto Goodyears,1,0,4,OHA-Sr.,8,1935-36,19,3
6,Toronto Goodyears,1,0,2,OHA-Sr.,5,1936-37,20,1
0,Hershey Bears,1,0,1,IAHL,5,1938-39,22,0
0,Springfield Indians,1,0,1,IAHL,3,1939-40,23,0
0,Springfield Indians,1,0,1,AHL,3,1940-41,24,0
5,Pittsburgh Hornets,1,0,1,AHL,2,1942-43,26,0
0,St. Paul Saints,0,0,0,USHL,3,1945-46,29,0
0,Toronto People\'s Credit,0,0,2,TIHL,5,1946-47,30,2
16,Fresno Falcons,4,0,8,PCHL,9,1947-48,31,4
2,Fresno Falcons,0,0,0,PCHL,2,1948-49,32,0
