shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1922-23,5,0,,0,0,0,0,0,0,OTS,0,28,0,NHL,0,,0,0,[],0
0,1923-24,2,0,,0,0,0,0,0,0,OTS,1,29,0,NHL,0,,19,1,[],0
0,1924-25,0,0,,0,0,0,0,0,0,OTS,0,30,0,NHL,0,,1,0,[],0
