game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-2,0,0,2,0,1990-91,0,0,0,0,,NHL,0,0,20,0,[],0,0,,MTL
2,7,90,0,39,13,1991-92,7,0,21,7,,NHL,23.3,6,21,10,[],34,14,,MTL
2,5,145,0,75,28,1992-93,18,1,20,6,,NHL,13.8,10,22,63,[],48,13,,MTL
5,-9,162,0,74,26,1993-94,19,0,19,3,,NHL,11.7,7,23,31,[],45,16,,MTL
0,-4,33,0,26,9,1994-95,7,0,0,0,,NHL,0.0,2,24,4,[],9,0,,TOT
0,-3,4,0,6,3,1994-95,2,0,0,0,,NHL,0.0,1,24,2,[],3,0,,MTL
0,-1,29,0,20,6,1994-95,5,0,0,0,,NHL,0.0,1,24,2,[],6,0,,PHI
0,0,12,0,7,3,1995-96,3,0,1,0,,NHL,8.3,0,25,0,[],4,1,,TOT
0,0,0,0,2,1,1995-96,1,0,0,0,,NHL,0,0,25,0,[],1,0,,PHI
0,0,12,0,5,2,1995-96,2,0,1,0,,NHL,8.3,0,25,0,[],3,1,,FLA
