even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,DET,0,18,18,0,,NHL,0,0,,1946-47,5,0,,0,0,0
0,1,DET,1,11,19,0,,NHL,0,0,,1947-48,0,0,,0,2,0
0,3,DET,0,19,20,0,,NHL,0,0,,1948-49,0,0,,0,0,0
0,0,DET,0,7,21,0,,NHL,0,0,,1949-50,1,0,SC,0,0,0
0,3,DET,4,4,22,0,,NHL,0,0,,1950-51,6,0,,0,7,0
0,0,DET,2,2,23,0,,NHL,0,0,,1951-52,8,0,SC,0,0,0
0,5,DET,2,2,24,0,,NHL,0,0,,1952-53,6,0,,0,7,0
0,5,DET,4,0,25,0,,NHL,0,0,,1953-54,0,0,SC,0,9,0
0,11,DET,0,24,26,0,,NHL,0,0,,1954-55,11,0,SC,0,0,0
0,9,DET,3,8,27,0,,NHL,0,0,,1955-56,0,0,,0,12,0
0,5,DET,2,6,28,0,,NHL,0,0,,1956-57,5,0,,0,7,0
0,1,DET,1,0,29,0,,NHL,0,0,,1957-58,4,0,,0,2,0
0,5,DET,1,4,31,0,,NHL,0,33,,1959-60,6,3.0,,0,6,1
0,11,DET,4,10,32,0,,NHL,0,39,,1960-61,11,10.3,,0,0,5
0,9,DET,7,22,34,0,,NHL,0,0,,1962-63,0,10.3,,0,0,2
0,10,DET,0,16,35,0,,NHL,0,0,,1963-64,0,12.2,,0,0,-2
0,2,DET,4,20,36,0,,NHL,0,29,,1964-65,7,13.8,,0,6,-1
0,6,DET,4,12,37,0,,NHL,0,45,,1965-66,0,8.9,,0,10,4
1,0,DET,2,2,41,0,,NHL,0,9,,1969-70,4,22.2,,1,2,-3
0,14,HSA,3,34,45,1,,WHA,0,0,,1973-74,13,0,,0,17,0
0,12,HSA,8,20,46,1,,WHA,0,0,,1974-75,13,0,,0,20,0
0,8,HSA,4,31,47,0,,WHA,0,0,,1975-76,17,0,,0,12,1
0,3,HSA,5,11,48,0,,WHA,0,0,,1976-77,11,0,,0,8,1
0,5,NEW,5,15,49,2,,WHA,0,0,,1977-78,14,0,,0,10,0
0,1,NEW,3,4,50,0,,WHA,0,0,,1978-79,10,0,,0,4,1
1,1,HAR,1,2,51,0,,NHL,0,4,,1979-80,3,25.0,,0,2,-1
