age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,8.0,2,5,1,NHL,9,0,1974-75,1,25,2,,0,2,,PIT,7
20,,0.0,0,1,-2,NHL,3,0,1975-76,0,10,0,,0,0,,PIT,1
21,,0.0,0,3,0,NHL,3,0,1976-77,0,13,0,,0,0,,PIT,3
22,SC,22.2,1,1,2,NHL,5,0,1977-78,1,9,2,,1,4,,MTL,3
23,SC,25.0,1,3,3,NHL,6,0,1978-79,1,4,1,,0,0,,MTL,4
24,,3.7,1,7,1,NHL,9,0,1979-80,0,27,1,,0,2,,MTL,8
25,,0.0,0,2,-1,NHL,2,0,1980-81,0,3,0,,0,0,,MTL,2
28,,16.7,1,1,-2,NHL,5,0,1983-84,0,18,3,,2,2,,NYR,4
30,,20.0,4,9,-5,NHL,16,0,1985-86,1,40,8,,4,2,,NYR,17
31,,15.8,3,2,-4,NHL,6,0,1986-87,1,19,3,,0,4,,NYR,5
