assists,team,goals,year,games_played,points,pim,age,plus_minus,league
4,Saskatoon Blades,5,1981-82,32,9,50,17,0,WHL
19,Saskatoon Blades,21,1982-83,63,40,213,18,0,WHL
36,Saskatoon Blades,41,1983-84,71,77,162,19,0,WHL
20,Springfield Indians,11,1984-85,67,31,133,20,0,AHL
26,Springfield Indians,14,1985-86,64,40,162,21,0,AHL
14,Springfield Indians,9,1986-87,23,23,49,22,0,AHL
12,Springfield Indians,9,1987-88,24,21,103,23,0,AHL
21,Springfield Indians,13,1988-89,50,34,83,24,0,AHL
14,Springfield Indians,17,1989-90,43,31,68,25,0,AHL
22,Albany Choppers,16,1990-91,55,38,87,26,0,IHL
9,Springfield Indians,5,1990-91,20,14,31,26,0,AHL
17,Muskegon Lumberjacks,5,1991-92,39,22,28,27,0,IHL
27,SIJ Rotterdam,28,1992-93,34,55,149,28,0,Holland
11,Milwaukee Admirals,5,1993-94,49,16,104,29,0,IHL
36,San Antonio Iguanas,28,1994-95,55,64,120,30,0,CHL
40,San Antonio Iguanas,27,1995-96,62,67,177,31,0,CHL
19,San Antonio Iguanas,12,1996-97,23,31,48,32,0,CHL
46,Shreveport Mudbugs,34,1997-98,66,80,91,33,30,WPHL
33,Shreveport Mudbugs,36,1998-99,64,69,90,34,28,WPHL
42,Shreveport Mudbugs,28,1999-00,69,70,49,35,16,WPHL
31,Bossier-Shreveport Mudbugs,30,2000-01,66,61,34,36,0,WPHL
4,Bossier-Shreveport Mudbugs,3,2001-02,12,7,9,37,-2,CHL
