power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,8,5,0,NHL,1996-97,20,2,NJD,,3,4,0,0,18,,,11.1,1
0,4,1,0,NHL,1997-98,21,0,NJD,,1,0,-2,0,9,,,0.0,0
0,7,5,0,NHL,1998-99,22,0,NJD,127,5,6,0,0,14,,,0.0,0
2,0,20,1,NHL,1999-00,23,7,NJD,408,0,9,0,1,60,,SC,11.7,4
3,0,23,2,NHL,2000-01,24,9,NJD,456,14,10,11,1,58,,,15.5,5
2,6,6,0,NHL,2001-02,25,2,NJD,123,4,6,-1,0,16,,,12.5,0
2,0,13,2,NHL,2002-03,26,5,NJD,414,8,26,5,0,59,,SC,8.5,3
1,5,5,1,NHL,2003-04,27,3,NJD,95,2,2,-3,0,18,,,16.7,2
4,9,16,0,NHL,2005-06,29,6,NJD,168,10,4,5,0,32,,,18.8,2
1,10,10,0,NHL,2006-07,30,1,NJD,192,9,4,3,0,48,,,2.1,0
3,5,6,0,NHL,2007-08,31,4,NJD,103,2,4,-5,0,18,28,,22.2,1
0,7,3,0,NHL,2008-09,32,1,NJD,125,2,2,-1,0,25,42,,4.0,1
0,5,4,0,NHL,2009-10,33,0,NJD,93,4,2,-2,0,12,27,,0.0,0
2,0,8,0,NHL,2011-12,35,5,NJD,444,3,10,-3,0,57,105,,8.8,3
