assists,team,goals,year,games_played,points,pim,age,plus_minus,league
17,Regina Pats,10,1987-88,68,27,17,16,0,WHL
28,Regina Pats,31,1988-89,52,59,29,17,0,WHL
44,Regina Pats,14,1989-90,72,58,42,18,0,WHL
61,Regina Pats,23,1990-91,71,84,41,19,0,WHL
21,Muskegon Lumberjacks,6,1991-92,54,27,37,20,0,IHL
18,Cleveland Lumberjacks,9,1992-93,58,27,64,21,0,IHL
16,Cleveland Lumberjacks,8,1993-94,73,24,72,22,0,IHL
35,Canada,11,1994-95,51,46,32,23,0,Nat-Tm
5,Canada,0,1994-95,8,5,6,23,0,WC-A
34,St. John\'s Maple Leafs,22,1995-96,73,56,33,24,0,AHL
19,St. John\'s Maple Leafs,8,1996-97,27,27,26,25,0,AHL
48,Philadelphia Phantoms,17,1997-98,72,65,54,26,21,AHL
10,Syracuse Crunch,3,2001-02,14,13,6,30,2,AHL
23,HC Geneve-Servette,8,2002-03,40,31,60,31,0,Swiss
0,Canada,0,2002-03,9,0,2,31,-1,WC-A
9,ZSC Lions Zurich,5,2003-04,25,14,57,32,0,Swiss
14,SCL Tigers Langnau,3,2004-05,44,17,91,33,0,Swiss
15,SKA St. Petersburg,2,2007-08,53,17,98,36,0,Russia
8,Norfolk Admirals,6,2008-09,20,14,25,37,-10,AHL
