age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,SC,18.2,1,1,-3,NHL,16,0,1985-86,1,22,4,,3,23,,MTL,5
20,,25.0,3,2,3,NHL,5,0,1986-87,1,12,3,,0,0,,MTL,5
21,,22.6,6,5,1,NHL,8,0,1987-88,2,31,7,,1,6,,MTL,12
22,,12.8,4,5,-5,NHL,21,0,1988-89,3,47,6,,2,14,,MTL,11
23,,31.8,6,3,8,NHL,9,0,1989-90,1,22,7,,1,2,,MTL,10
24,,20.5,8,5,0,NHL,13,0,1990-91,1,44,9,,1,6,,MTL,14
25,,5.6,1,2,-5,NHL,7,0,1991-92,0,18,1,,0,0,,NJD,3
26,,15.4,1,2,-4,NHL,5,0,1992-93,0,13,2,,1,2,,NJD,4
27,,9.7,4,5,2,NHL,20,0,1993-94,2,72,7,,3,6,,NJD,12
28,SC,10.9,2,15,9,NHL,19,1,1994-95,2,55,6,,3,2,,NJD,21
30,,0.0,0,0,-3,NHL,5,0,1996-97,0,9,0,,0,0,,MTL,0
33,,33.3,1,0,0,NHL,3,0,1999-00,0,3,1,12:30,0,0,38,STL,1
35,,0.0,0,0,-1,NHL,3,0,2001-02,0,6,0,12:12,0,0,37,NJD,0
