average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,13,1,0,NHL,21,10,81,5,45,2,0,0,1,1976-77,PIT,2,11,[],4.4,,66
,18,1,0,NHL,22,16,150,-5,51,2,0,0,0,1977-78,PIT,2,16,[],3.9,,74
,16,0,0,NHL,23,13,93,1,48,3,0,0,0,1978-79,PIT,3,13,[],6.3,,72
,27,0,0,NHL,24,22,150,11,78,5,0,0,0,1979-80,PIT,5,22,[],6.4,,76
,17,1,0,NHL,25,12,112,12,38,2,1,0,2,1980-81,PIT,3,14,[],7.9,,34
,5,1,0,NHL,26,4,183,-21,37,1,0,0,0,1981-82,TOT,1,4,[],2.7,,56
,1,0,0,NHL,26,1,98,-4,13,0,0,0,0,1981-82,PIT,0,1,[],0.0,,31
,4,1,0,NHL,26,3,85,-17,24,1,0,0,0,1981-82,HAR,1,3,[],4.2,,25
,6,0,0,NHL,27,6,171,-33,18,0,0,0,0,1982-83,HAR,0,6,[],0.0,,57
,17,1,0,NHL,28,11,126,-30,47,5,0,0,1,1983-84,LAK,5,12,[],10.6,,70
,2,0,0,NHL,29,1,20,-2,11,1,0,0,0,1984-85,LAK,1,1,[],9.1,,14
