assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1949-50,10,4,4,Lethbridge Native Sons,16,0,0,WCJHL
1,1950-51,7,4,3,Lethbridge Native Sons,17,0,0,WCJHL
3,1951-52,4,5,2,Lethbridge Native Sons,18,0,0,WCJHL
9,1952-53,14,21,12,Lethbridge Native Sons,19,12,0,WCJHL
4,1952-53,11,15,11,Lethbridge Native Sons,19,6,0,M-Cup
5,1953-54,12,11,6,Vancouver Canucks,20,4,0,WHL
1,1954-55,4,1,0,Vancouver Canucks,21,0,0,WHL
1,1955-56,3,3,2,Edmonton Flyers,22,4,0,WHL
4,1958-59,11,9,5,Buffalo Bisons,25,4,0,AHL
2,1960-61,4,3,1,Buffalo Bisons,27,0,0,AHL
2,1961-62,11,2,0,Buffalo Bisons,28,2,0,AHL
8,1962-63,13,10,2,Buffalo Bisons,29,0,0,AHL
0,1964-65,9,3,3,Buffalo Bisons,31,0,0,AHL
4,1970-71,4,4,0,Fort Worth Wings,37,0,0,CHL
