assists,year,games_played,points,goals,team,age,pim,plus_minus,league
13,1949-50,29,33,20,Lethbridge Native Sons,16,4,0,WCJHL
22,1950-51,38,47,25,Lethbridge Native Sons,17,6,0,WCJHL
28,1951-52,41,72,44,Lethbridge Native Sons,18,10,0,WCJHL
21,1952-53,34,55,34,Lethbridge Native Sons,19,53,0,WCJHL
1,1952-53,3,3,2,Saskatoon Quakers,19,0,0,WHL
13,1953-54,53,34,21,Vancouver Canucks,20,8,0,WHL
13,1954-55,59,31,18,Vancouver Canucks,21,13,0,WHL
42,1955-56,70,71,29,Edmonton Flyers,22,14,0,WHL
45,1958-59,70,70,25,Buffalo Bisons,25,19,0,AHL
26,1959-60,72,54,28,Buffalo Bisons,26,20,0,AHL
39,1960-61,72,74,35,Buffalo Bisons,27,10,0,AHL
22,1961-62,70,52,30,Buffalo Bisons,28,17,0,AHL
12,1962-63,72,32,20,Buffalo Bisons,29,25,0,AHL
16,1963-64,72,41,25,Buffalo Bisons,30,4,0,AHL
19,1964-65,72,40,21,Buffalo Bisons,31,15,0,AHL
23,1965-66,70,55,32,Buffalo Bisons,32,17,0,AHL
39,1966-67,71,64,25,Buffalo Bisons,33,5,0,AHL
1,1969-70,7,1,0,Baltimore Clippers,36,42,0,AHL
15,1970-71,26,23,8,Fort Worth Wings,37,10,0,CHL
7,1971-72,72,14,7,Tidewater Red Wings,38,8,0,AHL
