pim,team,assists,plus_minus,points,league,games_played,year,age,goals
140,Winnipeg Jets,31,0,35,WCJHL,66,1970-71,18,4
175,Winnipeg Jets,32,0,39,WCJHL,67,1971-72,19,7
97,Seattle Totems,9,0,11,WHL,59,1972-73,20,2
166,Des Moines Capitols,27,0,33,IHL,71,1973-74,21,6
4,Seattle Totems,2,0,2,WHL,3,1973-74,21,0
139,Dayton Gems,21,0,30,IHL,58,1974-75,22,9
174,Dayton Gems,39,0,43,IHL,77,1975-76,23,4
124,Dayton Gems,21,0,23,IHL,71,1976-77,24,2
50,2 Teams,8,0,9,AHL,33,1977-78,25,1
38,Hampton Gulls,1,0,2,AHL,14,1977-78,25,1
12,Hershey Bears,7,0,7,AHL,19,1977-78,25,0
108,Binghamton Dusters,28,0,30,AHL,75,1978-79,26,2
4,Cincinnati Stingers,0,0,0,CHL,1,1979-80,27,0
139,Dayton Gems,32,0,39,IHL,73,1979-80,27,7
