average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
17:13,0,1,0,0,0,NHL,25,0,0,0,1,5,0,1,0,0,0,0,0,1998-99,LAK,1,0,0,0,20.0,17,1,[]
11:17,0,23,1,0,0,NHL,26,14,0,26,4,131,0,5,0,0,0,4,0,1999-00,LAK,5,0,18,0,3.8,722,64,[]
13:40,0,16,0,1,0,NHL,27,7,0,34,-20,100,0,3,0,1,0,4,0,2000-01,TOT,5,0,11,0,5.0,642,47,[]
10:03,0,4,0,0,0,NHL,27,2,0,10,-8,27,0,1,0,0,0,1,0,2000-01,LAK,1,0,3,0,3.7,171,17,[]
15:43,0,12,0,1,0,NHL,27,5,0,24,-12,73,0,2,0,1,0,3,0,2000-01,NYI,4,0,8,0,5.5,471,30,[]
12:54,0,18,1,0,0,NHL,28,6,0,36,-11,136,0,8,0,0,4,0,0,2001-02,NYI,8,0,10,0,5.9,1057,82,[]
17:38,0,55,4,1,0,NHL,29,24,0,58,16,253,0,21,0,3,2,4,0,2002-03,NYI,25,0,30,0,9.9,1429,81,"[{'link': '/awards/voting-2003.html#selke', 'name': 'Selke-38'}]"
18:49,0,47,3,4,0,NHL,30,18,0,56,11,243,0,17,0,1,3,4,0,2003-04,NYI,22,0,25,0,9.1,1411,75,"[{'link': '/awards/voting-2004.html#selke', 'name': 'Selke-21'}]"
18:47,0,57,2,2,0,NHL,32,19,0,60,0,304,0,14,0,12,0,10,0,2005-06,NYI,28,0,29,0,9.2,1427,76,[]
18:09,0,69,7,0,0,NHL,33,21,0,34,1,305,0,26,0,14,0,8,0,2006-07,NYI,40,0,29,0,13.1,1488,82,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-2007.html#AS', 'name': 'AS-11'}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-60'}]"
17:49,536,52,0,0,14,NHL,34,27,14,28,-4,332,50.0,13,14,2,0,10,42,2007-08,TOR,15,55,37,63,4.5,1461,82,"[{'link': '/awards/masterton.html#2008', 'name': None}]"
18:21,445,63,5,1,27,NHL,35,24,36,40,-2,302,46.8,19,41,5,1,13,53,2008-09,TOR,25,54,38,43,8.3,1431,78,[]
15:54,387,41,2,0,26,NHL,36,21,31,36,-10,239,38.3,10,50,6,0,4,62,2009-10,TOT,16,70,25,30,6.7,1304,82,[]
15:50,286,26,2,0,22,NHL,36,13,19,26,-4,170,35.8,8,34,2,0,3,48,2009-10,TOR,10,36,16,20,5.9,887,56,[]
16:02,101,15,0,0,4,NHL,36,8,12,10,-6,69,42.9,2,16,4,0,1,14,2009-10,ANA,6,34,9,10,8.7,417,26,[]
14:46,286,32,3,0,27,NHL,37,12,1,41,-5,187,20.0,13,4,3,0,4,34,2010-11,ANA,16,76,16,36,8.6,1122,76,[]
14:09,179,12,3,0,17,NHL,38,4,0,6,-4,109,0.0,5,1,2,0,1,19,2011-12,ANA,7,41,5,9,6.4,636,45,[]
