shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,0,0,1,1,0,1992-93,0,0,0.00,NHL,0,0,0,0,0,0,0,21,0.0,0,[],0,0,0,WSH
101,0,0,88,230,5,0,1993-94,0,2,3.39,NHL,0,13,0,0,2,0,.871,22,0.3,0,[],0,0,0,WSH
80,0,1,69,187,4,0,1994-95,0,1,3.53,NHL,0,11,0,0,1,0,.863,23,0.2,0,[],0,0,0,WSH
1539,0,8,1367,2666,47,0,1995-96,0,14,3.87,NHL,0,172,110,-15.67,24,0,.888,24,6.9,6,"[{'link': '/awards/voting-1996.html#calder', 'name': 'Calder-14'}]",1,0,0,LAK
1178,0,5,1066,2162,40,0,1996-97,0,13,3.11,NHL,0,112,100,0.23,17,0,.905,25,6.4,0,[],0,0,0,LAK
1602,0,9,1464,3693,65,3,1997-98,0,30,2.24,NHL,0,138,92,12.20,25,0,.914,26,10.8,2,"[{'link': '/awards/voting-1998.html#hart', 'name': 'Hart-12'}, {'link': '/awards/voting-1998.html#vezina', 'name': 'Vezina-8'}]",6,3,0,BOS
1800,0,11,1667,4001,68,2,1998-99,0,32,1.99,NHL,0,133,80,32.98,23,0,.926,27,14.1,25,"[{'link': '/awards/nhl_all_star.html#1999', 'name': None}, {'link': '/awards/voting-1999.html#hart', 'name': 'Hart-9'}, {'link': '/awards/voting-1999.html#vezina', 'name': 'Vezina-3'}]",0,2,0,BOS
1030,0,10,916,2307,41,0,1999-00,0,13,2.96,NHL,0,114,116,-15.52,16,0,.889,28,4.6,0,[],3,0,0,BOS
1076,0,7,975,2536,45,2,2000-01,0,22,2.39,NHL,0,101,97,3.09,14,0,.906,29,6.9,6,[],2,2,0,BOS
1520,0,3,1379,3827,64,1,2001-02,0,35,2.21,NHL,0,141,101,-0.78,26,0,.907,30,9.3,27,"[{'link': '/awards/voting-2002.html#vezina', 'name': 'Vezina-10'}]",4,1,0,BOS
472,0,1,407,895,17,0,2002-03,0,5,4.36,NHL,0,65,151,-21.97,11,0,.862,31,0.4,0,[],0,0,0,ATL
499,0,1,448,973,18,0,2003-04,0,4,3.14,NHL,0,51,115,-6.56,11,0,.898,32,2.3,2,[],0,0,0,ATL
