shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,1716,32,0,1987-88,0,0,4.51,BCJHL,0,129,0,0,0,0,0,16,0,0,0,0,Juan de Fuca Whalers
0,0,3,0,3279,59,0,1988-89,0,29,5.32,WHL,0,291,0,0,24,0,0,17,0,1,0,0,Portland Winter Hawks
0,0,0,0,60,2,0,1989-90,0,0,3.00,Fr-Tour,0,3,0,0,1,0,0,18,0,0,0,0,Washington Capitals
0,0,3,0,2265,40,0,1989-90,0,14,5.11,WHL,0,193,0,0,21,0,0,18,0,0,0,0,Portland Winter Hawks
0,0,5,0,2253,40,0,1990-91,0,14,4.39,WHL,0,165,0,0,17,0,0,19,0,0,0,0,2 Teams
0,0,1,0,414,8,0,1990-91,0,1,5.94,WHL,0,41,0,0,5,0,0,19,0,0,0,0,Portland Winter Hawks
0,0,4,0,1839,32,0,1990-91,0,13,4.05,WHL,0,124,0,0,12,0,0,19,0,0,0,0,Prince Albert Raiders
0,0,0,0,562,10,0,1991-92,0,6,2.78,ECHL,0,26,0,0,4,0,0,20,0,0,0,0,Hampton Roads Admirals
0,0,5,0,2211,40,0,1991-92,0,15,3.83,AHL,0,141,0,0,18,0,0,20,0,0,0,0,2 Teams
0,0,4,0,1847,33,0,1991-92,0,12,3.87,AHL,0,119,0,0,16,0,0,20,0,0,0,0,Baltimore Skipjacks
0,0,1,0,364,7,0,1991-92,0,3,3.63,AHL,0,22,0,0,2,0,0,20,0,0,0,0,New Haven Nighthawks
0,0,7,0,2617,48,0,1992-93,0,16,4.38,AHL,0,191,0,0,20,0,0,21,0,1,0,0,Baltimore Skipjacks
0,0,4,0,2661,47,0,1993-94,0,24,3.34,AHL,0,148,0,0,16,0,0,22,0,1,0,0,Portland Pirates
1529,0,6,1360,2743,49,0,1994-95,0,25,3.70,IHL,0,169,0,0,16,0,.889,23,0,2,0,0,Phoenix Roadrunners
199,0,0,183,330,6,0,1994-95,0,5,2.91,AHL,0,16,0,0,0,0,.920,23,0,0,0,0,Portland Pirates
0,0,0,0,0,2,0,2005-06,0,0,0,Russia-3,0,1,0,0,0,0,0,34,0,0,0,0,Omskie Yastreby Omsk
