shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
302,.571,0,272,540,10,1,2008-09,0,4,3.33,NHL,7,30,0,0,3,4,.901,24,1.5,0,[],0,1,2,EDM
1529,.447,4,1377,2798,48,3,2009-10,0,16,3.26,NHL,47,152,112,-16.33,0,21,.901,25,7.3,8,[],3,3,11,EDM
113,.500,0,102,241,4,0,2011-12,0,3,2.74,NHL,4,11,0,0,1,2,.903,27,0.5,0,[],0,0,0,ANA
