assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1919-20,7,4,4,Ottawa Gunners,17,0,0,OCHL
0,1920-21,12,8,8,Ottawa Gunners,18,0,0,OCHL
7,1921-22,14,19,12,Ottawa Gunners,19,0,0,OCHL
0,1922-23,1,0,0,Ottawa Gunners,20,0,0,OCHL
0,1922-23,16,8,8,Pittsburgh Yellowjackets,20,0,0,USAHA
4,1923-24,12,10,6,Ottawa New Edinburghs,21,0,0,OCHL
0,1924-25,40,14,14,Pittsburgh Yellowjackets,22,0,0,USAHA
13,1932-33,24,20,7,Syracuse Stars,30,4,0,IHL
10,1933-34,44,19,9,Syracuse Stars,31,12,0,IHL
14,1935-36,41,21,7,Pittsburgh Shamrocks,33,4,0,IHL
