age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0,0,0,0,NHL,4,0,1953-54,0,0,1,,0,4,,BOS,1
21,,0,0,0,0,NHL,5,0,1954-55,0,0,0,,0,4,,BOS,0
23,,0,0,3,0,NHL,0,0,1956-57,0,0,2,,0,2,,BOS,5
24,,0,0,10,0,NHL,0,0,1957-58,0,0,3,,0,18,,BOS,13
25,,0,0,2,0,NHL,4,0,1958-59,0,0,0,,0,12,,BOS,2
31,,8.6,0,4,0,NHL,0,0,1964-65,0,35,3,,0,21,,CBH,7
32,,20.0,0,0,-3,NHL,5,0,1965-66,0,5,1,,0,4,,CBH,1
33,,0.0,0,5,1,NHL,5,0,1966-67,0,8,0,,0,8,,CBH,5
34,,3.6,1,5,-3,NHL,11,0,1967-68,0,28,1,,0,12,,CBH,6
36,,0.0,0,2,-1,NHL,8,0,1969-70,0,16,0,,0,15,,CBH,2
37,,11.1,1,2,4,NHL,6,0,1970-71,0,18,2,,1,10,,MNS,4
38,,16.7,0,2,0,NHL,4,0,1971-72,0,6,1,,1,10,,MNS,3
39,,0.0,0,1,0,NHL,6,0,1972-73,0,8,0,,0,2,,MNS,1
