average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,34,3,0,NHL,20,8,46,5,89,9,5,0,12,1988-89,CGY,14,20,[],15.7,,36
,66,6,3,NHL,21,24,157,22,200,19,9,0,11,1989-90,CGY,31,35,[],15.5,,0
,104,9,7,NHL,22,30,136,0,249,35,9,0,23,1990-91,CGY,51,53,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1991.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1991.html#hart', 'name': 'Hart-5'}, {'link': '/awards/voting-1991.html#selke', 'name': 'Selke-5'}]",20.5,,79
,73,6,1,NHL,23,20,133,0,225,21,11,0,20,1991-92,CGY,33,40,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-14'}]",14.7,,80
,100,4,2,NHL,24,44,88,14,250,20,12,1,21,1992-93,CGY,34,66,[],13.6,,83
,85,6,1,NHL,25,31,186,30,278,23,16,2,12,1993-94,CGY,40,45,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-7'}]",14.4,,83
,58,5,2,NHL,26,17,112,6,173,18,9,1,11,1994-95,CGY,29,29,"[{'link': '/awards/nhl_all_star.html#1995', 'name': None}, {'link': '/awards/voting-1995.html#hart', 'name': 'Hart-5'}]",16.8,,47
,96,4,5,NHL,27,32,112,17,353,24,17,1,17,1995-96,CGY,46,50,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-4'}]",13.0,,80
,67,3,2,NHL,28,22,104,-12,336,18,9,1,15,1996-97,CGY,29,38,[],8.6,,81
,78,4,2,NHL,29,27,197,0,282,22,3,5,19,1997-98,CGY,27,51,"[{'link': '/awards/voting-1998.html#AS', 'name': 'AS-10'}]",9.6,,82
23:21,93,5,3,NHL,30,34,86,26,301,29,8,2,17,1998-99,TOT,40,53,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-3'}]",13.3,1751,75
23:33,69,3,3,NHL,30,24,68,18,250,20,7,2,13,1998-99,CGY,30,39,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-3'}]",12.0,1413,60
22:33,24,2,0,NHL,30,10,18,8,51,9,1,0,4,1998-99,COL,10,14,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-3'}]",19.6,338,15
19:41,64,1,0,NHL,31,29,68,-4,246,14,1,0,20,1999-00,NYR,15,49,[],6.1,1575,80
21:47,74,3,7,NHL,32,19,122,0,238,15,8,2,23,2000-01,NYR,30,44,[],12.6,1351,62
20:48,63,5,0,NHL,33,28,216,0,267,17,7,0,11,2001-02,NYR,24,39,[],9.0,1706,82
16:45,33,3,0,NHL,34,14,77,-7,124,11,1,0,7,2002-03,CHI,12,21,[],9.7,904,54
