assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,2001-02,4,2,1,Rouyn-Noranda Huskies,16,9,-4,QMJHL
0,2002-03,4,0,0,Rouyn-Noranda Huskies,17,4,-4,QMJHL
2,2003-04,11,4,2,Rouyn-Noranda Huskies,18,24,-4,QMJHL
4,2004-05,10,5,1,Rouyn-Noranda Huskies,19,25,0,QMJHL
6,2005-06,17,16,10,Gwinnett Gladiators,20,38,0,ECHL
1,2006-07,6,1,0,Chicago Wolves,21,2,0,AHL
1,2007-08,1,1,0,Chicago Wolves,22,0,2,AHL
6,2007-08,8,9,3,Gwinnett Gladiators,22,10,9,ECHL
8,2008-09,22,12,4,Manitoba Moose,23,18,2,AHL
6,2009-10,6,9,3,Manitoba Moose,24,17,2,AHL
3,2010-11,13,4,1,Manitoba Moose,25,31,0,AHL
0,2011-12,7,1,1,Abbotsford Heat,26,21,-1,AHL
